,Query,Expected Intent,Predicted Intent,AddToPlaylist,BookRestaurant,GetWeather,PlayMusic,RateBook,SearchCreativeWork,SearchScreeningEvent
0,add the artist Pete Murray to my relaxing playlist,AddToPlaylist,AddToPlaylist,0.997940942789076,,,0.0008531223411077812,6.285805722360564e-05,0.0009855166099354347,9.37053682549645e-05
1,Add the artist mike to the Sexy as Folk playlist.,AddToPlaylist,AddToPlaylist,0.9712595831289503,0.0005063583634651858,,0.0027504005749629684,,0.02121518154167279,0.003872431192514549
2,I'd like to have this track onto my Classical Relaxations playlist.,AddToPlaylist,AddToPlaylist,0.9732063619692418,0.0010838795638566747,,,0.0002232163562925362,0.025041677261295085,0.000229295016194566
3,Put Vandemataram Srinivas's track onto HipHop Hot 50.,AddToPlaylist,AddToPlaylist,0.9829245316716819,0.0012642617334478596,0.0061729989237179405,,0.005719642611839468,,0.002603755849113253
4,add abacab to beryl's party on fridays playlist,AddToPlaylist,AddToPlaylist,0.9864990111741947,0.0005742797614342085,0.0014218266747366402,0.004939794260905978,,0.0060121192122966766,
5,Add this artist to Showstopper Being Mary Jane,AddToPlaylist,AddToPlaylist,0.9692570653467775,0.0017114181969697937,,,0.0016847241257828176,0.011172497951909534,0.013697838377336926
6,A Very Cellular Song needs to be added to my masters of metal playlist,AddToPlaylist,AddToPlaylist,0.942003666351701,0.0011769572742585679,0.0010667740868966053,0.006771736982122813,,0.04726533316414764,
7,I'd like for Kasey Chambers's tune to be an addition to my Chips and Salsa playlist.,AddToPlaylist,AddToPlaylist,0.9040238787649155,0.06631069432598631,0.0014703680181133787,,,0.025360657003285523,0.0019466217961511627
8,Add a derek watkins tune to This Is Johnny Cash,AddToPlaylist,AddToPlaylist,0.7018414776616417,0.09775184769057693,0.015064701550795938,,,0.15589808968539734,0.015735149011482666
9,Can you add Larry Heard to my laundry playlist?,AddToPlaylist,AddToPlaylist,0.9911974734983651,0.00017619327690408473,,0.0001027764928337198,,0.008365265458596704,0.00014247722454346223
10,Add a song to Indie Hipster,AddToPlaylist,AddToPlaylist,0.9452826144698334,0.0016035875816626125,,0.002641754451775964,,0.04983080946130984,0.0004067855149711177
