,Query,Expected Intent,Predicted Intent,AddToPlaylist,BookRestaurant,GetWeather,PlayMusic,RateBook,SearchCreativeWork,SearchScreeningEvent
0,add the artist Pete Murray to my relaxing playlist,AddToPlaylist,AddToPlaylist,0.9999803304672241,1.6462910252812435e-06,1.4147740330372471e-06,7.913818080851343e-06,1.2859059372871684e-09,5.30723173142178e-06,3.4208533179480582e-06
1,Add the artist mike to the Sexy as Folk playlist.,AddToPlaylist,AddToPlaylist,0.999970555305481,1.6392202724091476e-06,4.719470780401025e-06,5.60101625524112e-06,3.540173487692755e-09,1.064095977199031e-05,6.7212704379926436e-06
2,I'd like to have this track onto my Classical Relaxations playlist.,AddToPlaylist,AddToPlaylist,0.9999387264251709,3.832509719359223e-06,2.205207692895783e-06,1.0799794836202636e-06,1.8954868785669987e-09,5.404624607763253e-05,1.8418161573663383e-07
3,Put Vandemataram Srinivas's track onto HipHop Hot 50.,AddToPlaylist,AddToPlaylist,0.5723997354507446,0.037728723138570786,0.019247479736804962,0.10018433630466461,0.18191909790039062,0.08806516230106354,0.0004554858896881342
4,add abacab to beryl's party on fridays playlist,AddToPlaylist,AddToPlaylist,0.9995678067207336,5.941346535109915e-05,2.9718505174969323e-05,0.0003117588348686695,1.721579145907981e-08,1.6137249986059032e-05,1.5231945326377172e-05
5,Add this artist to Showstopper Being Mary Jane,AddToPlaylist,AddToPlaylist,0.99152010679245,2.8262305932003073e-05,0.007994883693754673,2.9251976229716092e-05,1.8696559891395736e-06,3.3451371564297006e-05,0.00039211430703289807
6,A Very Cellular Song needs to be added to my masters of metal playlist,AddToPlaylist,AddToPlaylist,0.999990701675415,7.384678042399173e-07,4.649702987080673e-06,2.3153504002948466e-07,5.324812812901314e-10,3.0231819891923806e-06,6.725121011186275e-07
7,I'd like for Kasey Chambers's tune to be an addition to my Chips and Salsa playlist.,AddToPlaylist,AddToPlaylist,0.9995002746582031,0.00048282890929840505,5.895946287637344e-06,2.878432724173763e-06,5.252598356264571e-09,6.563730039488291e-06,1.5954610717017204e-06
8,Add a derek watkins tune to This Is Johnny Cash,AddToPlaylist,AddToPlaylist,0.9820871949195862,0.00046090269461274147,0.00044809054816141725,0.0010307326447218657,5.183768280403456e-06,0.01518475916236639,0.000783135590609163
9,Can you add Larry Heard to my laundry playlist?,AddToPlaylist,AddToPlaylist,0.9999858140945435,7.843394769224687e-07,2.5635936253820546e-06,6.139129254734144e-06,2.486587602490431e-10,3.6961753266950836e-06,9.608993423171341e-07
10,Add a song to Indie Hipster,AddToPlaylist,AddToPlaylist,0.9911813735961914,0.0007163258269429207,0.0005601045559160411,0.0007556375348940492,1.480721948610153e-05,0.006321975030004978,0.0004497320333030075
11,I need to add baro ferret to the Urban Hits under my name,AddToPlaylist,AddToPlaylist,0.9895551204681396,0.003048031125217676,0.0002586498449090868,0.0001392531703459099,3.3527810501254862e-06,0.00680495286360383,0.0001905835379147902
12,Add the artist to the political punks playlist.,AddToPlaylist,AddToPlaylist,0.9999837875366211,9.934310440939953e-08,8.594618520874064e-06,1.1310710306133842e-06,1.1234108088231665e-09,4.0273134800372645e-06,2.350872819079086e-06
13,add tierney sutton to my Novedades Viernes Sudamerica playlist,AddToPlaylist,AddToPlaylist,0.9995299577713013,2.154344201699132e-06,3.1892948754830286e-05,1.6743580999900587e-05,1.153651041363446e-08,5.865108050784329e-06,0.00041325303027406335
14,Add Ted Heath to the road trip playlist.,AddToPlaylist,AddToPlaylist,0.9999521970748901,6.121579758655571e-07,2.4683959054527804e-05,2.458832113916287e-06,5.524070978424334e-09,7.32436046746443e-06,1.2646106370084453e-05
15,Add the Matt Murphy tune to the Flow Espanol playlist.,AddToPlaylist,AddToPlaylist,0.9998728036880493,4.111372163606575e-06,2.996592957060784e-05,2.2000534954713657e-05,3.110136859163504e-08,5.258873352431692e-05,1.8511507732910104e-05
16,Add the chris clark tune to my women of the blues playlist.,AddToPlaylist,AddToPlaylist,0.9999536275863647,1.503363023402926e-06,3.910751729563344e-06,6.242704330361448e-06,2.3457751296973584e-09,2.3735965442028828e-05,1.0947346709144767e-05
17,Add Roel van Velzen to my party of the century playlist.,AddToPlaylist,AddToPlaylist,0.9998084902763367,3.8921647501410916e-05,9.046348168340046e-06,1.6051551938289776e-05,4.224438754363291e-08,0.00012643572699744254,1.0282346920575947e-06
18,Add the album to the Hipster Soul playlist.,AddToPlaylist,AddToPlaylist,0.9998230338096619,9.646494163462194e-07,3.652262967079878e-05,6.097441200836329e-06,2.489597150656664e-08,0.0001241521240444854,9.359432624478359e-06
19,Add the song virales de siempre by the cary brothers to my gym playlist.,AddToPlaylist,AddToPlaylist,0.9998069405555725,1.669272933213506e-05,2.01638977159746e-06,8.730314584681764e-05,4.8403681063291515e-09,4.165979044046253e-05,4.532307866611518e-05
20,Add a track to Jazzy Dinner,AddToPlaylist,AddToPlaylist,0.9412353038787842,0.005042849574238062,6.479134026449174e-05,0.0017208649078384042,3.649241079983767e-06,0.05177053436636925,0.00016200717072933912
21,Add this tune to dorthy's 80's party playlist,AddToPlaylist,AddToPlaylist,0.9998712539672852,1.4585616554541048e-06,0.0001203703141072765,3.7388776945590507e-06,1.932967563789134e-08,2.494289901733282e-06,6.022387992743461e-07
