Query,Expected Entity,Predicted Entity,Confidence
add the artist Pete Murray to my relaxing playlist,,music_item,0.7597190824015085
add the artist Pete Murray to my relaxing playlist,,playlist_owner,0.8044529980000107
add the artist Pete Murray to my relaxing playlist,artist,,0.0
add the artist Pete Murray to my relaxing playlist,playlist_owner,,0.0
add the artist Pete Murray to my relaxing playlist,playlist,,0.0
Add the artist mike to the Sexy as Folk playlist.,artist,music_item,0.7515579071876886
Add the artist mike to the Sexy as Folk playlist.,playlist,object_name,0.2364681542257801
Add the artist mike to the Sexy as Folk playlist.,music_item,,0.0
I'd like to have this track onto my Classical Relaxations playlist.,,music_item,0.2274816394729788
I'd like to have this track onto my Classical Relaxations playlist.,,playlist_owner,0.8680056918727989
I'd like to have this track onto my Classical Relaxations playlist.,,playlist,0.8817125800345725
I'd like to have this track onto my Classical Relaxations playlist.,music_item,,0.0
I'd like to have this track onto my Classical Relaxations playlist.,playlist_owner,,0.0
I'd like to have this track onto my Classical Relaxations playlist.,playlist,,0.0
Put Vandemataram Srinivas's track onto HipHop Hot 50.,,object_name,0.3295790277964873
Put Vandemataram Srinivas's track onto HipHop Hot 50.,playlist,object_name,0.3828126406322764
Put Vandemataram Srinivas's track onto HipHop Hot 50.,artist,,0.0
add abacab to beryl's party on fridays playlist,artist,,0.0
add abacab to beryl's party on fridays playlist,music_item,,0.0
add abacab to beryl's party on fridays playlist,playlist,,0.0
Add this artist to Showstopper Being Mary Jane,,music_item,0.9296905260102867
Add this artist to Showstopper Being Mary Jane,,object_name,0.23716812757498879
Add this artist to Showstopper Being Mary Jane,entity_name,,0.0
Add this artist to Showstopper Being Mary Jane,playlist,,0.0
A Very Cellular Song needs to be added to my masters of metal playlist,,artist,0.2298062908852617
A Very Cellular Song needs to be added to my masters of metal playlist,,music_item,0.5679698665041185
A Very Cellular Song needs to be added to my masters of metal playlist,,playlist_owner,0.9422535227783411
A Very Cellular Song needs to be added to my masters of metal playlist,,playlist,0.8011664558906638
A Very Cellular Song needs to be added to my masters of metal playlist,artist,,0.0
A Very Cellular Song needs to be added to my masters of metal playlist,music_item,,0.0
A Very Cellular Song needs to be added to my masters of metal playlist,playlist,,0.0
I'd like for Kasey Chambers's tune to be an addition to my Chips and Salsa playlist.,,music_item,0.9268932539801933
I'd like for Kasey Chambers's tune to be an addition to my Chips and Salsa playlist.,,playlist_owner,0.9658017100181076
I'd like for Kasey Chambers's tune to be an addition to my Chips and Salsa playlist.,,playlist,0.895599137519084
I'd like for Kasey Chambers's tune to be an addition to my Chips and Salsa playlist.,music_item,,0.0
I'd like for Kasey Chambers's tune to be an addition to my Chips and Salsa playlist.,playlist,,0.0
Add a derek watkins tune to This Is Johnny Cash,,music_item,0.920158572274995
Add a derek watkins tune to This Is Johnny Cash,,object_name,0.39387850505266236
Add a derek watkins tune to This Is Johnny Cash,artist,,0.0
Add a derek watkins tune to This Is Johnny Cash,music_item,,0.0
Add a derek watkins tune to This Is Johnny Cash,playlist_owner,,0.0
Add a derek watkins tune to This Is Johnny Cash,playlist,,0.0
Can you add Larry Heard to my laundry playlist?,,artist,0.4258650293829224
Can you add Larry Heard to my laundry playlist?,,playlist_owner,0.8306974696532976
Can you add Larry Heard to my laundry playlist?,,playlist,0.7475445658420492
Can you add Larry Heard to my laundry playlist?,music_item,,0.0
Can you add Larry Heard to my laundry playlist?,playlist,,0.0
Add a song to Indie Hipster,music_item,music_item,0.9223604795796777
Add a song to Indie Hipster,playlist_owner,,0.0
Add a song to Indie Hipster,playlist,,0.0
I need to add baro ferret to the Urban Hits under my name,,object_name,0.4382923939316513
I need to add baro ferret to the Urban Hits under my name,,playlist_owner,0.35862939459621906
I need to add baro ferret to the Urban Hits under my name,artist,,0.0
I need to add baro ferret to the Urban Hits under my name,playlist,,0.0
Add the artist to the political punks playlist.,,music_item,0.930825811145633
Add the artist to the political punks playlist.,,playlist,0.357958728278635
Add the artist to the political punks playlist.,music_item,,0.0
Add the artist to the political punks playlist.,playlist,,0.0
add tierney sutton to my Novedades Viernes Sudamerica playlist,,playlist_owner,0.9739547968216019
add tierney sutton to my Novedades Viernes Sudamerica playlist,,playlist,0.9383206472212455
add tierney sutton to my Novedades Viernes Sudamerica playlist,playlist_owner,,0.0
add tierney sutton to my Novedades Viernes Sudamerica playlist,playlist,,0.0
add tierney sutton to my Novedades Viernes Sudamerica playlist,artist,,0.0
Add Ted Heath to the road trip playlist.,,playlist,0.42777437328937434
Add Ted Heath to the road trip playlist.,artist,,0.0
Add Ted Heath to the road trip playlist.,playlist_owner,,0.0
Add Ted Heath to the road trip playlist.,playlist,,0.0
Add the Matt Murphy tune to the Flow Espanol playlist.,,artist,0.16866867190805035
Add the Matt Murphy tune to the Flow Espanol playlist.,,music_item,0.9028866235493695
Add the Matt Murphy tune to the Flow Espanol playlist.,,playlist,0.30019484723621714
Add the Matt Murphy tune to the Flow Espanol playlist.,music_item,,0.0
Add the Matt Murphy tune to the Flow Espanol playlist.,playlist_owner,,0.0
Add the Matt Murphy tune to the Flow Espanol playlist.,playlist,,0.0
Add the chris clark tune to my women of the blues playlist.,,music_item,0.907363613229191
Add the chris clark tune to my women of the blues playlist.,,playlist_owner,0.8300793408492786
Add the chris clark tune to my women of the blues playlist.,,playlist,0.349031063134268
Add the chris clark tune to my women of the blues playlist.,,playlist,0.2355568787443255
Add the chris clark tune to my women of the blues playlist.,entity_name,,0.0
Add the chris clark tune to my women of the blues playlist.,playlist_owner,,0.0
Add the chris clark tune to my women of the blues playlist.,playlist,,0.0
Add Roel van Velzen to my party of the century playlist.,,playlist_owner,0.8013292915080635
Add Roel van Velzen to my party of the century playlist.,artist,,0.0
Add Roel van Velzen to my party of the century playlist.,playlist,,0.0
Add the album to the Hipster Soul playlist.,,playlist,0.3151179841896631
Add the album to the Hipster Soul playlist.,artist,,0.0
Add the album to the Hipster Soul playlist.,playlist_owner,,0.0
Add the album to the Hipster Soul playlist.,playlist,,0.0
Add the song virales de siempre by the cary brothers to my gym playlist.,,music_item,0.2624508949425797
Add the song virales de siempre by the cary brothers to my gym playlist.,,object_name,0.19072769949325422
Add the song virales de siempre by the cary brothers to my gym playlist.,,playlist_owner,0.5655986750575317
Add the song virales de siempre by the cary brothers to my gym playlist.,entity_name,,0.0
Add the song virales de siempre by the cary brothers to my gym playlist.,playlist_owner,,0.0
Add the song virales de siempre by the cary brothers to my gym playlist.,playlist,,0.0
Add a track to Jazzy Dinner,,music_item,0.6690250799042264
Add a track to Jazzy Dinner,entity_name,,0.0
Add a track to Jazzy Dinner,playlist_owner,,0.0
Add a track to Jazzy Dinner,playlist,,0.0
Add this tune to dorthy's 80's party playlist,,music_item,0.9427048075220509
Add this tune to dorthy's 80's party playlist,entity_name,,0.0
Add this tune to dorthy's 80's party playlist,playlist,,0.0
Add this album to the Spanish Beat playlist,music_item,,0.0
Add this album to the Spanish Beat playlist,playlist,,0.0
Add an artist to Jukebox Boogie Rhythm & Blues,,music_item,0.8953434955045048
Add an artist to Jukebox Boogie Rhythm & Blues,,object_name,0.4304555097421265
Add an artist to Jukebox Boogie Rhythm & Blues,music_item,,0.0
Add an artist to Jukebox Boogie Rhythm & Blues,playlist,,0.0
Put abe laboriel onto the Escapada playlist.,artist,,0.0
Put abe laboriel onto the Escapada playlist.,music_item,,0.0
Put abe laboriel onto the Escapada playlist.,playlist,,0.0
Add martin barre to my punk unplugged playlist.,,playlist_owner,0.9437724556337331
Add martin barre to my punk unplugged playlist.,,playlist,0.9020524398291568
Add martin barre to my punk unplugged playlist.,music_item,,0.0
Add martin barre to my punk unplugged playlist.,playlist_owner,,0.0
Add martin barre to my punk unplugged playlist.,playlist,,0.0
Can you put the artist Giovanni Giacomo Gastoldi onto the Chill Out Music playlist?,,music_item,0.697451312119811
Can you put the artist Giovanni Giacomo Gastoldi onto the Chill Out Music playlist?,entity_name,,0.0
Can you put the artist Giovanni Giacomo Gastoldi onto the Chill Out Music playlist?,playlist_owner,,0.0
Can you put the artist Giovanni Giacomo Gastoldi onto the Chill Out Music playlist?,playlist,,0.0
Add our little corner of the world music from gilmore girls to my The Funny Thing About Football Is playlist.,artist,object_name,0.37430324940222237
Add our little corner of the world music from gilmore girls to my The Funny Thing About Football Is playlist.,,object_name,0.431228519103518
Add our little corner of the world music from gilmore girls to my The Funny Thing About Football Is playlist.,,playlist_owner,0.7280573483088021
Add our little corner of the world music from gilmore girls to my The Funny Thing About Football Is playlist.,,object_name,0.22829965860753718
Add our little corner of the world music from gilmore girls to my The Funny Thing About Football Is playlist.,playlist_owner,,0.0
Add our little corner of the world music from gilmore girls to my The Funny Thing About Football Is playlist.,playlist,,0.0
Add a song to my playlist madden nfl 16,,music_item,0.9306993741391616
Add a song to my playlist madden nfl 16,,playlist_owner,0.891663023432993
Add a song to my playlist madden nfl 16,,object_name,0.22782018897486286
Add a song to my playlist madden nfl 16,music_item,,0.0
Add a song to my playlist madden nfl 16,playlist,,0.0
Please add this track by Paul McGuigan to the Deep House playlist.,,music_item,0.26802165613353796
Please add this track by Paul McGuigan to the Deep House playlist.,,artist,0.7569158669101553
Please add this track by Paul McGuigan to the Deep House playlist.,,playlist,0.33316866730123823
Please add this track by Paul McGuigan to the Deep House playlist.,music_item,,0.0
Please add this track by Paul McGuigan to the Deep House playlist.,playlist,,0.0
Add the artist to my dishwashing playlist.,,music_item,0.9322803912095328
Add the artist to my dishwashing playlist.,,playlist_owner,0.807967393449336
Add the artist to my dishwashing playlist.,entity_name,,0.0
Add the artist to my dishwashing playlist.,playlist_owner,,0.0
Add the artist to my dishwashing playlist.,playlist,,0.0
Add the artist Adam Deibert to my Perfect Concentration playlist.,,music_item,0.7460960327182329
Add the artist Adam Deibert to my Perfect Concentration playlist.,,playlist_owner,0.9362334693476867
Add the artist Adam Deibert to my Perfect Concentration playlist.,,playlist,0.8535973736994591
Add the artist Adam Deibert to my Perfect Concentration playlist.,artist,,0.0
Add the artist Adam Deibert to my Perfect Concentration playlist.,playlist,,0.0
add Beyond the Valley of 1984 in playlist Folk Music At The Gaslight Cafe,,object_name,0.45973358556211685
add Beyond the Valley of 1984 in playlist Folk Music At The Gaslight Cafe,,object_name,0.2537544860560997
add Beyond the Valley of 1984 in playlist Folk Music At The Gaslight Cafe,artist,,0.0
add Beyond the Valley of 1984 in playlist Folk Music At The Gaslight Cafe,playlist,,0.0
Put Jean Philippe Goncalves onto my running to rock 170 to 190 bpm.,,playlist_owner,0.5304221252086033
Put Jean Philippe Goncalves onto my running to rock 170 to 190 bpm.,,object_name,0.27224168010969124
Put Jean Philippe Goncalves onto my running to rock 170 to 190 bpm.,,object_name,0.313592884507147
Put Jean Philippe Goncalves onto my running to rock 170 to 190 bpm.,artist,,0.0
Put Jean Philippe Goncalves onto my running to rock 170 to 190 bpm.,playlist,,0.0
Add the 40 cal tune to the laundry playlist.,,artist,0.14015015575698733
Add the 40 cal tune to the laundry playlist.,playlist,music_item,0.9097636005015115
Add the 40 cal tune to the laundry playlist.,,playlist,0.7938365320383934
Add the 40 cal tune to the laundry playlist.,music_item,,0.0
Add porter wagoner to the The Sleep Machine Waterscapes playlist.,,object_name,0.3382974920430325
Add porter wagoner to the The Sleep Machine Waterscapes playlist.,artist,,0.0
Add porter wagoner to the The Sleep Machine Waterscapes playlist.,playlist_owner,,0.0
Add porter wagoner to the The Sleep Machine Waterscapes playlist.,playlist,,0.0
Add lofty fake anagram to the la mejor musica de bso playlist.,playlist,object_name,0.2733085591405959
Add lofty fake anagram to the la mejor musica de bso playlist.,,playlist,0.42596801228121206
Add lofty fake anagram to the la mejor musica de bso playlist.,entity_name,,0.0
add we have a theme song to my House Afterwork playlist,,music_item,0.7854715097133084
add we have a theme song to my House Afterwork playlist,,playlist_owner,0.943882559285723
add we have a theme song to my House Afterwork playlist,,playlist,0.8939658257996872
add we have a theme song to my House Afterwork playlist,music_item,,0.0
add we have a theme song to my House Afterwork playlist,playlist_owner,,0.0
add we have a theme song to my House Afterwork playlist,playlist,,0.0
put the artist onto Top Latin Alternative.,,music_item,0.8139138968161995
put the artist onto Top Latin Alternative.,playlist_owner,,0.0
put the artist onto Top Latin Alternative.,playlist,,0.0
put the artist onto Top Latin Alternative.,music_item,,0.0
Add kent james to the disney soundtrack.,entity_name,artist,0.24118857373368888
Add kent james to the disney soundtrack.,,object_name,0.3228958383208469
Add kent james to the disney soundtrack.,,object_type,0.4578696362662465
Add kent james to the disney soundtrack.,playlist_owner,,0.0
Add kent james to the disney soundtrack.,playlist,,0.0
add nuba to my Metal Party playlist,,playlist_owner,0.8681668553845167
add nuba to my Metal Party playlist,,playlist,0.8970829377758577
add nuba to my Metal Party playlist,artist,,0.0
add nuba to my Metal Party playlist,playlist,,0.0
Add Brazilian Flag Anthem to Top 100 Alternative Tracks on Spotify,playlist,object_name,0.23418488562613193
Add Brazilian Flag Anthem to Top 100 Alternative Tracks on Spotify,,service,0.8009060800774096
Add Brazilian Flag Anthem to Top 100 Alternative Tracks on Spotify,artist,,0.0
Add Brazilian Flag Anthem to Top 100 Alternative Tracks on Spotify,playlist_owner,,0.0
Can you add last of the ghetto astronauts to the playlist called black sabbath the dio years?,,object_name,0.649429997607316
Can you add last of the ghetto astronauts to the playlist called black sabbath the dio years?,artist,,0.0
Can you add last of the ghetto astronauts to the playlist called black sabbath the dio years?,playlist,,0.0
Add this album to Old School Death Metal,,object_name,0.4005630268703038
Add this album to Old School Death Metal,music_item,,0.0
Add this album to Old School Death Metal,playlist,,0.0
add this artist to my Electronic Bliss playlist,,music_item,0.9311906696576574
add this artist to my Electronic Bliss playlist,,playlist_owner,0.9602299486042665
add this artist to my Electronic Bliss playlist,,playlist,0.9277225715243024
add this artist to my Electronic Bliss playlist,music_item,,0.0
add this artist to my Electronic Bliss playlist,playlist,,0.0
Add the album to my Perfect Concentration playlist.,,playlist_owner,0.9341157867777273
Add the album to my Perfect Concentration playlist.,,playlist,0.8521663308159638
Add the album to my Perfect Concentration playlist.,music_item,,0.0
Add the album to my Perfect Concentration playlist.,playlist_owner,,0.0
Add the album to my Perfect Concentration playlist.,playlist,,0.0
add a song in my All Out 60s,,music_item,0.8500837883145992
add a song in my All Out 60s,,playlist_owner,0.6288733393453249
add a song in my All Out 60s,,playlist,0.3422803974350038
add a song in my All Out 60s,artist,,0.0
add a song in my All Out 60s,playlist,,0.0
add digging now to my Young at Heart playlist,,timeRange,0.37249006188412803
add digging now to my Young at Heart playlist,,playlist_owner,0.903475066183662
add digging now to my Young at Heart playlist,,playlist,0.5643995518730108
add digging now to my Young at Heart playlist,artist,,0.0
add digging now to my Young at Heart playlist,playlist_owner,,0.0
add digging now to my Young at Heart playlist,playlist,,0.0
add ireland in the junior eurovision song contest 2015 to my Jazzy Dinner playlist,,object_name,0.1802178182538378
add ireland in the junior eurovision song contest 2015 to my Jazzy Dinner playlist,,playlist_owner,0.9396576957142394
add ireland in the junior eurovision song contest 2015 to my Jazzy Dinner playlist,,playlist,0.9009734287067451
add ireland in the junior eurovision song contest 2015 to my Jazzy Dinner playlist,artist,,0.0
add ireland in the junior eurovision song contest 2015 to my Jazzy Dinner playlist,playlist_owner,,0.0
add ireland in the junior eurovision song contest 2015 to my Jazzy Dinner playlist,playlist,,0.0
add the song to my We Everywhere playlist,,music_item,0.8266230426096557
add the song to my We Everywhere playlist,,playlist_owner,0.9415038328169293
add the song to my We Everywhere playlist,,playlist,0.8730447617649513
add the song to my We Everywhere playlist,artist,,0.0
add the song to my We Everywhere playlist,playlist,,0.0
Add the album to the Might and Myth Power Metal playlist.,,object_name,0.4441652777851945
Add the album to the Might and Myth Power Metal playlist.,music_item,,0.0
Add the album to the Might and Myth Power Metal playlist.,playlist,,0.0
Add a song to this is racionais mc's,,music_item,0.9302822120237063
Add a song to this is racionais mc's,artist,,0.0
Add a song to this is racionais mc's,playlist,,0.0
"Add Jerry Calliste, Jr to my Te quiero playlist.",,playlist_owner,0.9442767565545884
"Add Jerry Calliste, Jr to my Te quiero playlist.",,playlist,0.9067931060517119
"Add Jerry Calliste, Jr to my Te quiero playlist.",artist,,0.0
"Add Jerry Calliste, Jr to my Te quiero playlist.",music_item,,0.0
"Add Jerry Calliste, Jr to my Te quiero playlist.",playlist,,0.0
Add sarah slean to my playlist Mellowed Out Gaming,,artist,0.7241341214574075
Add sarah slean to my playlist Mellowed Out Gaming,,playlist_owner,0.8908785371595392
Add sarah slean to my playlist Mellowed Out Gaming,music_item,,0.0
Add sarah slean to my playlist Mellowed Out Gaming,playlist,,0.0
Add the album to my Flow Espanol playlist.,music_item,playlist_owner,0.9427925576397699
Add the album to my Flow Espanol playlist.,,playlist,0.9126924253070401
