Query,Expected Entity,Predicted Entity,Confidence
add the artist Pete Murray to my relaxing playlist,,music_item,0.9889364838600159
add the artist Pete Murray to my relaxing playlist,,artist,0.19054807722568512
add the artist Pete Murray to my relaxing playlist,,playlist_owner,0.9290891885757446
add the artist Pete Murray to my relaxing playlist,artist,,0.0
add the artist Pete Murray to my relaxing playlist,playlist_owner,,0.0
add the artist Pete Murray to my relaxing playlist,playlist,,0.0
Add the artist mike to the Sexy as Folk playlist.,artist,music_item,0.9950909614562988
Add the artist mike to the Sexy as Folk playlist.,playlist,playlist,0.24246332049369812
Add the artist mike to the Sexy as Folk playlist.,music_item,,0.0
I'd like to have this track onto my Classical Relaxations playlist.,,timeRange,0.5193427205085754
I'd like to have this track onto my Classical Relaxations playlist.,,music_item,0.9636585116386414
I'd like to have this track onto my Classical Relaxations playlist.,,playlist_owner,0.9172275066375732
I'd like to have this track onto my Classical Relaxations playlist.,music_item,,0.0
I'd like to have this track onto my Classical Relaxations playlist.,playlist_owner,,0.0
I'd like to have this track onto my Classical Relaxations playlist.,playlist,,0.0
Put Vandemataram Srinivas's track onto HipHop Hot 50.,,object_name,0.12493015080690384
Put Vandemataram Srinivas's track onto HipHop Hot 50.,,object_name,0.3841046094894409
Put Vandemataram Srinivas's track onto HipHop Hot 50.,,music_item,0.9698244333267212
Put Vandemataram Srinivas's track onto HipHop Hot 50.,,track,0.9308933019638062
Put Vandemataram Srinivas's track onto HipHop Hot 50.,,best_rating,0.39569374918937683
Put Vandemataram Srinivas's track onto HipHop Hot 50.,artist,,0.0
Put Vandemataram Srinivas's track onto HipHop Hot 50.,playlist,,0.0
add abacab to beryl's party on fridays playlist,artist,,0.0
add abacab to beryl's party on fridays playlist,music_item,,0.0
add abacab to beryl's party on fridays playlist,playlist,,0.0
Add this artist to Showstopper Being Mary Jane,,music_item,0.9938887357711792
Add this artist to Showstopper Being Mary Jane,,movie_name,0.6510928273200989
Add this artist to Showstopper Being Mary Jane,,state,0.20781314373016357
Add this artist to Showstopper Being Mary Jane,entity_name,,0.0
Add this artist to Showstopper Being Mary Jane,playlist,,0.0
A Very Cellular Song needs to be added to my masters of metal playlist,,object_name,0.329488068819046
A Very Cellular Song needs to be added to my masters of metal playlist,,music_item,0.9867833852767944
A Very Cellular Song needs to be added to my masters of metal playlist,,playlist_owner,0.1344413161277771
A Very Cellular Song needs to be added to my masters of metal playlist,,playlist,0.7405297756195068
A Very Cellular Song needs to be added to my masters of metal playlist,artist,,0.0
A Very Cellular Song needs to be added to my masters of metal playlist,music_item,,0.0
A Very Cellular Song needs to be added to my masters of metal playlist,playlist,,0.0
I'd like for Kasey Chambers's tune to be an addition to my Chips and Salsa playlist.,,track,0.14319166541099548
I'd like for Kasey Chambers's tune to be an addition to my Chips and Salsa playlist.,,music_item,0.9890848994255066
I'd like for Kasey Chambers's tune to be an addition to my Chips and Salsa playlist.,,playlist_owner,0.8602206707000732
I'd like for Kasey Chambers's tune to be an addition to my Chips and Salsa playlist.,,object_name,0.37308406829833984
I'd like for Kasey Chambers's tune to be an addition to my Chips and Salsa playlist.,,object_type,0.09756248444318771
