,Query,Expected Intent,Predicted Intent,AddToPlaylist,BookRestaurant,GetWeather,PlayMusic,RateBook,SearchCreativeWork,SearchScreeningEvent
0,add the artist Pete Murray to my relaxing playlist,AddToPlaylist,AddToPlaylist,0.9999686479568481,1.3389750392889255e-06,,9.396885616297368e-06,,1.7520151232019998e-05,2.9821617317793425e-06
1,Add the artist mike to the Sexy as Folk playlist.,AddToPlaylist,AddToPlaylist,0.9999144077301025,4.0761169657344e-06,,5.310177584760822e-06,,6.608248804695904e-05,9.446448530070484e-06
2,I'd like to have this track onto my Classical Relaxations playlist.,AddToPlaylist,AddToPlaylist,0.9977217316627502,8.410612645093352e-05,,2.684634819161147e-05,,0.0021492016967386007,1.5040676771604922e-05
3,Put Vandemataram Srinivas's track onto HipHop Hot 50.,AddToPlaylist,AddToPlaylist,0.6846086382865906,0.08736716955900192,,0.014764041639864445,0.16809715330600739,0.0232523363083601,
4,add abacab to beryl's party on fridays playlist,AddToPlaylist,AddToPlaylist,0.9991281628608704,6.290493911365047e-05,,0.00039265677332878113,,0.0003933756670448929,1.741997584758792e-05
5,Add this artist to Showstopper Being Mary Jane,AddToPlaylist,AddToPlaylist,0.9979135394096375,0.00010754984396044165,,8.4037943452131e-05,,6.42110244370997e-05,0.0017613463569432497
6,A Very Cellular Song needs to be added to my masters of metal playlist,AddToPlaylist,AddToPlaylist,0.9997302889823914,6.0030051827197894e-06,,3.8146015867823735e-05,,0.00021134738926775753,1.3357514944800641e-05
7,I'd like for Kasey Chambers's tune to be an addition to my Chips and Salsa playlist.,AddToPlaylist,AddToPlaylist,0.9941470623016357,0.004535690415650606,,6.877256964799017e-05,,0.0010027968091890216,0.0002118119882652536
8,Add a derek watkins tune to This Is Johnny Cash,AddToPlaylist,AddToPlaylist,0.9825398921966553,0.0005807601264677942,,0.0001902818476082757,,0.01452228520065546,0.00202489853836596
9,Can you add Larry Heard to my laundry playlist?,AddToPlaylist,AddToPlaylist,0.9998829364776611,1.4212608903108048e-06,,9.581424092175439e-05,,1.4158002159092575e-05,5.39299344382016e-06
10,Add a song to Indie Hipster,AddToPlaylist,AddToPlaylist,0.9998350143432617,3.6135930713498965e-05,,2.1070225557195954e-05,,8.758805779507384e-05,1.5879344573477283e-05
11,I need to add baro ferret to the Urban Hits under my name,AddToPlaylist,AddToPlaylist,0.9602195024490356,0.03331201896071434,,,0.000947618973441422,0.004073128569871187,0.0012053565587848425
12,Add the artist to the political punks playlist.,AddToPlaylist,AddToPlaylist,0.9999634027481079,1.796869781856003e-07,,1.8466641904524295e-06,,3.0806131690042093e-05,3.601043545131688e-06
13,add tierney sutton to my Novedades Viernes Sudamerica playlist,AddToPlaylist,AddToPlaylist,0.9989508390426636,2.520490306778811e-05,,0.00043435872066766024,,0.00027909092023037374,0.000304113986203447
14,Add Ted Heath to the road trip playlist.,AddToPlaylist,AddToPlaylist,0.9999442100524902,1.6103003872558475e-06,,3.4759968912112527e-06,,2.0247169231879525e-05,2.95065256068483e-05
15,Add the Matt Murphy tune to the Flow Espanol playlist.,AddToPlaylist,AddToPlaylist,0.9998291730880737,6.289383691182593e-06,,9.541532563162036e-06,,0.00013551897427532822,1.7182981537189335e-05
16,Add the chris clark tune to my women of the blues playlist.,AddToPlaylist,AddToPlaylist,0.9998725652694702,3.2078378353617154e-06,,4.552791779133258e-06,,0.00010117917554453015,1.761602470651269e-05
17,Add Roel van Velzen to my party of the century playlist.,AddToPlaylist,AddToPlaylist,0.9955812096595764,0.0004036329919472337,,0.00010460820340085775,,0.003882024670019746,1.641602284507826e-05
18,Add the album to the Hipster Soul playlist.,AddToPlaylist,AddToPlaylist,0.9993802309036255,1.560898681418621e-06,,4.995713879907271e-06,,0.0006085262866690755,4.085716682311613e-06
19,Add the song virales de siempre by the cary brothers to my gym playlist.,AddToPlaylist,AddToPlaylist,0.999077320098877,1.278699255635729e-05,,0.0005282893544062972,,0.00019766001787502319,0.000178590533323586
20,Add a track to Jazzy Dinner,AddToPlaylist,AddToPlaylist,0.9972466230392456,0.0005005786661058664,,2.7018244509235956e-05,,0.002209730911999941,1.2415093806339428e-05
21,Add this tune to dorthy's 80's party playlist,AddToPlaylist,AddToPlaylist,0.9999130964279175,2.35642019106308e-05,,,2.2353178792400286e-05,1.3453714018396568e-05,1.3716016837861389e-05
22,Add this album to the Spanish Beat playlist,AddToPlaylist,AddToPlaylist,0.9998606443405151,3.1179783945844974e-06,,1.7905887943925336e-05,,9.50815447140485e-05,2.1804611606057733e-05
23,Add an artist to Jukebox Boogie Rhythm & Blues,AddToPlaylist,AddToPlaylist,0.9984796643257141,0.0011883643455803394,,6.407807813957334e-05,,0.00017440150259062648,8.220266317948699e-05
24,Put abe laboriel onto the Escapada playlist.,AddToPlaylist,AddToPlaylist,0.9998893737792969,5.445916485768976e-06,,6.213749293237925e-05,,1.9391522073419765e-05,2.209659396612551e-05
25,Add martin barre to my punk unplugged playlist.,AddToPlaylist,AddToPlaylist,0.9999734163284302,3.641825742306537e-06,,1.0271532119077165e-05,,9.785053407540545e-06,2.7781695735029643e-06
26,Can you put the artist Giovanni Giacomo Gastoldi onto the Chill Out Music playlist?,AddToPlaylist,AddToPlaylist,0.9985572695732117,,,0.000874773773830384,2.8240585379535332e-05,0.0004596300714183599,5.418147338787094e-05
27,Add our little corner of the world music from gilmore girls to my The Funny Thing About Football Is playlist.,AddToPlaylist,AddToPlaylist,0.9333709478378296,,0.0008850409067235887,0.01749311201274395,,0.04604777321219444,0.0010731799993664026
28,Add a song to my playlist madden nfl 16,AddToPlaylist,AddToPlaylist,0.9999347925186157,8.222057658713311e-06,,3.651497536338866e-05,,1.105963110603625e-05,5.5415803217329085e-06
29,Please add this track by Paul McGuigan to the Deep House playlist.,AddToPlaylist,AddToPlaylist,0.9982866644859314,4.286039256840013e-06,,0.00048474365030415356,,0.0011384906247258186,8.351024735020474e-05
30,Add the artist to my dishwashing playlist.,AddToPlaylist,AddToPlaylist,0.9999836683273315,4.175239212145243e-07,,2.118295924447011e-06,,1.0005534932133742e-05,3.7198815334704705e-06
31,Add the artist Adam Deibert to my Perfect Concentration playlist.,AddToPlaylist,AddToPlaylist,0.9998113512992859,1.4807279512751848e-05,,3.997161184088327e-05,,0.00012551761756185442,7.170644039433682e-06
32,add Beyond the Valley of 1984 in playlist Folk Music At The Gaslight Cafe,AddToPlaylist,AddToPlaylist,0.876537561416626,0.005993455182760954,,0.06741714477539062,0.005521208047866821,0.04077782854437828,
33,Put Jean Philippe Goncalves onto my running to rock 170 to 190 bpm.,AddToPlaylist,AddToPlaylist,0.8986706733703613,0.01218507345765829,,0.006247044540941715,0.06397058814764023,0.012897586449980736,
34,Add the 40 cal tune to the laundry playlist.,AddToPlaylist,AddToPlaylist,0.999901533126831,5.283498921926366e-06,,,5.410923677118262e-06,7.504078530473635e-05,9.511512871540617e-06
35,Add porter wagoner to the The Sleep Machine Waterscapes playlist.,AddToPlaylist,AddToPlaylist,0.9967766404151917,,6.319802923826501e-05,0.00010827648657141253,,0.0027985526248812675,0.00019384756160434335
36,Add lofty fake anagram to the la mejor musica de bso playlist.,AddToPlaylist,AddToPlaylist,0.9982238411903381,6.390947237377986e-05,,0.000525442068465054,,0.0011769956909120083,8.909042662708089e-06
37,add we have a theme song to my House Afterwork playlist,AddToPlaylist,AddToPlaylist,0.9995768666267395,6.056564416212495e-06,,9.066675556823611e-05,,0.00031063746428117156,1.1996881767117884e-05
38,put the artist onto Top Latin Alternative.,AddToPlaylist,AddToPlaylist,0.9969809651374817,0.0009839191334322095,,0.0001342993782600388,,0.0016198623925447464,0.00024046482576522976
39,Add kent james to the disney soundtrack.,AddToPlaylist,SearchCreativeWork,0.039271630346775055,0.00010258240217808634,3.7483401683857664e-05,,,0.9604933857917786,6.114933785283938e-05
40,add nuba to my Metal Party playlist,AddToPlaylist,AddToPlaylist,0.9999692440032959,3.2210546123678796e-06,,9.65369963523699e-06,,1.6222829799517058e-05,1.5254018990162876e-06
41,Add Brazilian Flag Anthem to Top 100 Alternative Tracks on Spotify,AddToPlaylist,AddToPlaylist,0.7367304563522339,0.19493159651756287,,0.03601577877998352,0.02164200134575367,0.00868145190179348,
42,Can you add last of the ghetto astronauts to the playlist called black sabbath the dio years?,AddToPlaylist,AddToPlaylist,0.7964655756950378,,0.0009219115599989891,0.001665451331064105,,0.1998974233865738,0.0006845938041806221
43,Add this album to Old School Death Metal,AddToPlaylist,AddToPlaylist,0.9882441759109497,0.0001188710011774674,,0.00018921114678960294,,0.010984004475176334,0.00041003298247233033
44,add this artist to my Electronic Bliss playlist,AddToPlaylist,AddToPlaylist,0.9999833106994629,6.253892479435308e-07,,1.0917248800978996e-05,,2.803230472636642e-06,1.9847705061692977e-06
45,Add the album to my Perfect Concentration playlist.,AddToPlaylist,AddToPlaylist,0.9985024929046631,2.9880118745495565e-05,,8.430563320871443e-05,,0.0013760658912360668,6.184921403473709e-06
46,add a song in my All Out 60s,AddToPlaylist,AddToPlaylist,0.9996523857116699,6.197707261890173e-05,,0.00012518090079538524,2.3768856408423744e-05,0.00012019462883472443,
47,add digging now to my Young at Heart playlist,AddToPlaylist,AddToPlaylist,0.9997656941413879,2.559692575232475e-06,,8.11418067314662e-05,,1.5411127378683886e-06,0.00014809166896156967
48,add ireland in the junior eurovision song contest 2015 to my Jazzy Dinner playlist,AddToPlaylist,AddToPlaylist,0.9985468983650208,0.000983529957011342,,0.00016755907563492656,0.0001370100799249485,8.402129606110975e-05,
49,add the song to my We Everywhere playlist,AddToPlaylist,AddToPlaylist,0.998367965221405,1.591940190337482e-06,,9.363948265672661e-06,,0.0016168254660442472,3.048227426916128e-06
50,Add the album to the Might and Myth Power Metal playlist.,AddToPlaylist,AddToPlaylist,0.999294638633728,1.4277456102718133e-05,,4.219601396471262e-05,,0.0006273253820836544,2.0429541109479032e-05
51,Add a song to this is racionais mc's,AddToPlaylist,AddToPlaylist,0.9985496401786804,0.00012415942910593003,,0.00017058350204024464,0.00022655740031041205,,0.0008266117074526846
52,"Add Jerry Calliste, Jr to my Te quiero playlist.",AddToPlaylist,AddToPlaylist,0.9998490810394287,1.0190568673351663e-06,,5.42443467566045e-06,,0.00014270420069806278,1.4971424207033124e-06
53,Add sarah slean to my playlist Mellowed Out Gaming,AddToPlaylist,AddToPlaylist,0.9999368190765381,3.912029114871984e-06,,1.4517454474116676e-05,,3.905984340235591e-05,4.591188826452708e-06
54,Add the album to my Flow Espanol playlist.,AddToPlaylist,AddToPlaylist,0.9998689889907837,1.9923318177461624e-06,,1.5262568922480568e-05,,0.00011043226550100371,2.9066875413263915e-06
55,add this artist to my spotlight on country 2016 playlist,AddToPlaylist,AddToPlaylist,0.9997804760932922,,,0.0001677110412856564,1.4572676263924222e-05,1.3524208952730987e-05,1.3220826986071188e-05
56,Add give us rest to my 70s Smash Hits playlist.,AddToPlaylist,AddToPlaylist,0.999858021736145,2.2171067030285485e-05,,4.817235821974464e-05,4.04112070100382e-05,,2.202357427449897e-05
57,Add the track to the work playlist.,AddToPlaylist,AddToPlaylist,0.9959932565689087,2.1671578451787354e-06,,2.9143111532903276e-06,,0.003995844628661871,5.45465991308447e-06
