,Query,Expected Intent,Predicted Intent,AddToPlaylist,BookRestaurant,GetWeather,PlayMusic,RateBook,SearchCreativeWork,SearchScreeningEvent
0,add the artist Pete Murray to my relaxing playlist,AddToPlaylist,AddToPlaylist,0.9996540546417236,,4.597076781465148e-07,0.0003232358430977911,1.750838464431581e-06,1.9845077986246906e-05,
1,Add the artist mike to the Sexy as Folk playlist.,AddToPlaylist,AddToPlaylist,0.9996389150619507,,1.64733057772537e-06,0.00030606190557591617,2.125265837094048e-06,4.9557682359591126e-05,
2,I'd like to have this track onto my Classical Relaxations playlist.,AddToPlaylist,AddToPlaylist,0.9978941082954407,1.5207231172098545e-06,,0.00028049098909832537,2.8436488719307818e-06,0.0018206567037850618,
3,Put Vandemataram Srinivas's track onto HipHop Hot 50.,AddToPlaylist,RateBook,0.26690009236335754,,0.0023446560371667147,0.004571940749883652,0.6814725399017334,0.04316350072622299,
4,add abacab to beryl's party on fridays playlist,AddToPlaylist,AddToPlaylist,0.9958413243293762,0.00023400160716846585,8.350605639861897e-05,0.0037893932312726974,,4.785321652889252e-05,
5,Add this artist to Showstopper Being Mary Jane,AddToPlaylist,AddToPlaylist,0.9990246295928955,,0.0003867821069434285,0.00032315743737854064,,0.00011103146243840456,9.887744818115607e-05
6,A Very Cellular Song needs to be added to my masters of metal playlist,AddToPlaylist,AddToPlaylist,0.9997428059577942,,1.2302850791456876e-06,0.0001328538783127442,9.828149813984055e-06,0.00011252743570366874,
7,I'd like for Kasey Chambers's tune to be an addition to my Chips and Salsa playlist.,AddToPlaylist,AddToPlaylist,0.9980233907699585,0.00048376224003732204,5.094012158224359e-05,0.0009102922049351037,,0.0005079597467556596,
8,Add a derek watkins tune to This Is Johnny Cash,AddToPlaylist,AddToPlaylist,0.9634494781494141,,2.5086503228521906e-05,0.0007473667501471937,0.00014026784629095346,0.03562229499220848,
9,Can you add Larry Heard to my laundry playlist?,AddToPlaylist,AddToPlaylist,0.998018741607666,1.2440884802344954e-06,,0.0017668487271293998,7.543295623690938e-07,0.00021180225303396583,
10,Add a song to Indie Hipster,AddToPlaylist,AddToPlaylist,0.9991779923439026,6.146338364487747e-06,9.283729923481587e-06,7.659508264623582e-05,,0.0007227005553431809,
11,I need to add baro ferret to the Urban Hits under my name,AddToPlaylist,AddToPlaylist,0.934469997882843,0.00939463172107935,0.0035222142469137907,,0.008716831915080547,0.040302824229002,
