,Query,Expected Intent,Predicted Intent,AddToPlaylist,BookRestaurant,GetWeather,PlayMusic,RateBook,SearchCreativeWork,SearchScreeningEvent
0,add the artist Pete Murray to my relaxing playlist,AddToPlaylist,AddToPlaylist,0.9999648332595825,3.276162203746935e-07,1.158737745754479e-06,1.6538810143629235e-07,2.4511123797310574e-07,7.453275429725181e-06,2.5837283828877844e-05
1,Add the artist mike to the Sexy as Folk playlist.,AddToPlaylist,AddToPlaylist,0.9998289346694946,2.962987991850241e-06,6.017749910824932e-06,3.7296206301107304e-06,1.6018517499105656e-06,6.418541306629777e-05,9.26228822208941e-05
2,I'd like to have this track onto my Classical Relaxations playlist.,AddToPlaylist,AddToPlaylist,0.999968409538269,1.4323508423785825e-07,4.062986135977553e-06,1.2253011050233908e-08,4.9429011994561733e-08,1.8982116671395488e-05,8.395554687012918e-06
3,Put Vandemataram Srinivas's track onto HipHop Hot 50.,AddToPlaylist,AddToPlaylist,0.8320825099945068,0.007171829231083393,0.039558399468660355,0.005912898574024439,0.10870969295501709,0.0030371027532964945,0.003527637803927064
4,add abacab to beryl's party on fridays playlist,AddToPlaylist,AddToPlaylist,0.9992566704750061,0.00010174493945669383,0.00014007845311425626,0.00011033737973775715,3.0686955142300576e-05,3.666634074761532e-05,0.00032389251282438636
5,Add this artist to Showstopper Being Mary Jane,AddToPlaylist,AddToPlaylist,0.9971965551376343,2.7825306460727006e-05,0.0002449452586006373,1.342590621788986e-05,0.00039079628186300397,0.00039497739635407925,0.0017314115539193153
6,A Very Cellular Song needs to be added to my masters of metal playlist,AddToPlaylist,AddToPlaylist,0.999969482421875,4.1582205767554115e-07,1.0265019227517769e-05,6.396315654910723e-08,2.9709528348575986e-07,1.1751238162105437e-05,7.740716682747006e-06
7,I'd like for Kasey Chambers's tune to be an addition to my Chips and Salsa playlist.,AddToPlaylist,AddToPlaylist,0.9980711340904236,0.0015780350659042597,1.88650592463091e-05,3.425306431381614e-06,8.941710802901071e-07,0.00019393351976759732,0.0001337048743152991
8,Add a derek watkins tune to This Is Johnny Cash,AddToPlaylist,AddToPlaylist,0.9889680743217468,6.802388816140592e-05,0.00015245965914800763,0.00022541962971445173,9.834208321990445e-05,0.009837688878178596,0.000650059781037271
9,Can you add Larry Heard to my laundry playlist?,AddToPlaylist,AddToPlaylist,0.9999021291732788,7.294720489881001e-07,5.9917101680184714e-06,1.8725129393715179e-06,2.4891735961318773e-07,5.18578126502689e-05,3.716796345543116e-05
10,Add a song to Indie Hipster,AddToPlaylist,AddToPlaylist,0.9884342551231384,0.00038222272996790707,0.0012575984001159668,0.0013192942133173347,0.004819929134100676,0.001494505675509572,0.0022922856733202934
11,I need to add baro ferret to the Urban Hits under my name,AddToPlaylist,AddToPlaylist,0.9970259070396423,0.0006447352352552116,0.0005299066542647779,3.471401578281075e-05,7.18863884685561e-05,0.0007662391872145236,0.0009266212582588196
12,Add the artist to the political punks playlist.,AddToPlaylist,AddToPlaylist,0.9999496936798096,1.3859092007351137e-07,5.039508778281743e-06,3.830590742381901e-07,1.9547667307051597e-06,8.662153049954213e-06,3.424258829909377e-05
13,add tierney sutton to my Novedades Viernes Sudamerica playlist,AddToPlaylist,AddToPlaylist,0.9995549321174622,2.518902647352661e-06,1.392026479152264e-05,7.976444180712861e-07,3.0270130082499236e-06,8.632760909677017e-06,0.00041616574162617326
14,Add Ted Heath to the road trip playlist.,AddToPlaylist,AddToPlaylist,0.9997683167457581,4.75851123837856e-07,1.358763620373793e-05,1.4448446563619655e-06,7.827787158021238e-06,3.317692971904762e-05,0.00017518839740660042
15,Add the Matt Murphy tune to the Flow Espanol playlist.,AddToPlaylist,AddToPlaylist,0.9997252821922302,3.955819011025596e-06,3.311730324639939e-05,1.1189980796189047e-05,1.1304631698294543e-05,0.00016231025801971555,5.2836581744486466e-05
