,Query,Expected Intent,Predicted Intent,AddToPlaylist,BookRestaurant,GetWeather,PlayMusic,RateBook,SearchCreativeWork,SearchScreeningEvent
0,add the artist Pete Murray to my relaxing playlist,AddToPlaylist,AddToPlaylist,0.9943824204303818,,,0.003241932185671985,0.0005812002855956215,0.0006789631672370923,0.0004050309143340902
1,Add the artist mike to the Sexy as Folk playlist.,AddToPlaylist,AddToPlaylist,0.9961906304911097,,,0.0005258627573947437,0.00039225336586681185,0.001836566027228637,0.0006993130361047
2,I'd like to have this track onto my Classical Relaxations playlist.,AddToPlaylist,AddToPlaylist,0.9913321740104902,0.0016665955547556783,,0.0005596531034643922,0.000685812519367367,0.004997502216259948,
3,Put Vandemataram Srinivas's track onto HipHop Hot 50.,AddToPlaylist,RateBook,0.20964275567041263,0.1257837022411542,0.09860059471413804,,0.5089917260833999,0.03061680726125283,
4,add abacab to beryl's party on fridays playlist,AddToPlaylist,AddToPlaylist,0.9862791225424066,0.001377751142715854,0.0010049909811511713,0.01037619215230277,,0.00041855299219533846,
5,Add this artist to Showstopper Being Mary Jane,AddToPlaylist,AddToPlaylist,0.85993437360345,,0.05550202925779377,,0.020015627848672387,0.008670887755944224,0.0434592379124005
6,A Very Cellular Song needs to be added to my masters of metal playlist,AddToPlaylist,AddToPlaylist,0.9973931365783366,0.0008129084492032858,0.00018315318689276908,,0.00015874429511351435,0.0012972005563755083,
7,I'd like for Kasey Chambers's tune to be an addition to my Chips and Salsa playlist.,AddToPlaylist,AddToPlaylist,0.985223875095036,0.014417157970095608,5.093914842408228e-05,,,0.00014420389725669183,0.0001370986067861151
8,Add a derek watkins tune to This Is Johnny Cash,AddToPlaylist,AddToPlaylist,0.6479980646597361,0.046234351992738676,0.04329508102528133,,,0.14580525742446165,0.1044706637575713
9,Can you add Larry Heard to my laundry playlist?,AddToPlaylist,AddToPlaylist,0.9798618822712979,0.0005381157484978287,0.0002379211296846105,0.01719374845627437,,0.001938830994012127,
10,Add a song to Indie Hipster,AddToPlaylist,AddToPlaylist,0.4613475518817062,,0.04546190823455306,0.046340143709081474,,0.33393839085155325,0.0669688101905036
11,I need to add baro ferret to the Urban Hits under my name,AddToPlaylist,AddToPlaylist,0.6069331075562664,0.1619633092371554,0.01756185451599078,,,0.18361783081227512,0.01617842018287691
12,Add the artist to the political punks playlist.,AddToPlaylist,AddToPlaylist,0.9987654901404882,,,0.00029204848478350435,9.388994654292045e-05,0.0006143731412499347,0.00016182093912524233
13,add tierney sutton to my Novedades Viernes Sudamerica playlist,AddToPlaylist,AddToPlaylist,0.9928790121555594,0.0007365873473221844,0.00047995963001854993,0.0008263315764429293,,,0.004354158441979562
14,Add Ted Heath to the road trip playlist.,AddToPlaylist,AddToPlaylist,0.9801668027898883,,,0.0026867494440165596,0.0013484342428495973,0.01175011102527506,0.0031294350056825845
15,Add the Matt Murphy tune to the Flow Espanol playlist.,AddToPlaylist,AddToPlaylist,0.9824475000154721,,0.0005400937940712237,0.001965917162285845,,0.011911438880615407,0.002224831861743867
16,Add the chris clark tune to my women of the blues playlist.,AddToPlaylist,AddToPlaylist,0.9850417358905115,,,0.0008179089878495424,0.0005061473796789971,0.01057721316759685,0.0024312481247308402
17,Add Roel van Velzen to my party of the century playlist.,AddToPlaylist,AddToPlaylist,0.9330209543814626,0.005877722184634501,,0.020928686691270463,0.0019982153428752857,0.03683554752298365,
18,Add the album to the Hipster Soul playlist.,AddToPlaylist,AddToPlaylist,0.9808913960188392,,,0.0028044399938218813,0.0012365184706494285,0.012979855653463228,0.0013150297014481185
19,Add the song virales de siempre by the cary brothers to my gym playlist.,AddToPlaylist,AddToPlaylist,0.9803408995074263,,,0.0032052262911032125,0.003208547973115841,0.00538554168596078,0.005712523557626266
20,Add a track to Jazzy Dinner,AddToPlaylist,SearchCreativeWork,0.3377811845215942,0.04350612327007236,,0.04387090144747292,,0.5233028268406315,0.021384513064427037
21,Add this tune to dorthy's 80's party playlist,AddToPlaylist,AddToPlaylist,0.993093315292925,,0.0009460942305692978,0.001489959706404451,0.003892932105111799,,0.00030243314183774414
22,Add this album to the Spanish Beat playlist,AddToPlaylist,AddToPlaylist,0.9895275616316656,,0.0011901470200223036,0.0022743737184696268,,0.0020202514287092238,0.003825357658674262
23,Add an artist to Jukebox Boogie Rhythm & Blues,AddToPlaylist,AddToPlaylist,0.8544793476141939,0.05642543510957458,,,0.021850718655917853,0.023414664790780648,0.023052975753867597
24,Put abe laboriel onto the Escapada playlist.,AddToPlaylist,AddToPlaylist,0.9361887845083136,0.002239392114915505,,0.04343058553149839,0.0027059382322274232,0.012178497135391536,
25,Add martin barre to my punk unplugged playlist.,AddToPlaylist,AddToPlaylist,0.9929323327866606,0.0004658358740051271,0.00029379263847129387,0.00391872320291072,,0.002039631162966658,
26,Can you put the artist Giovanni Giacomo Gastoldi onto the Chill Out Music playlist?,AddToPlaylist,AddToPlaylist,0.9984580556620725,0.00022699511478709093,0.0001363324445981553,,0.0005174782534941557,0.0004381989419421453,
27,Add our little corner of the world music from gilmore girls to my The Funny Thing About Football Is playlist.,AddToPlaylist,AddToPlaylist,0.9969553382724318,0.0004043694575763103,0.0007543353220188667,,0.0008198834699274844,0.0008734615837655337,
28,Add a song to my playlist madden nfl 16,AddToPlaylist,AddToPlaylist,0.9822181675598383,0.0020387866596586093,,0.009069690412200692,0.0022228635165991357,0.002993734449870421,
29,Please add this track by Paul McGuigan to the Deep House playlist.,AddToPlaylist,AddToPlaylist,0.9798620013969008,0.0008292259898060318,,0.0006489436580961242,,0.017666262544002213,0.0006670768102417027
30,Add the artist to my dishwashing playlist.,AddToPlaylist,AddToPlaylist,0.9959555769246,,0.00034668116216460986,0.001274495299101343,,0.0006108611045436466,0.0016004798168359937
31,Add the artist Adam Deibert to my Perfect Concentration playlist.,AddToPlaylist,AddToPlaylist,0.9977705118146567,0.0012479551784091382,0.00022101255166288313,0.00017467865970821866,,0.000330059703744233,
32,add Beyond the Valley of 1984 in playlist Folk Music At The Gaslight Cafe,AddToPlaylist,AddToPlaylist,0.8998520209480475,0.03774768197837865,0.008522512294150462,,0.022587275748607787,0.023830203647596047,
33,Put Jean Philippe Goncalves onto my running to rock 170 to 190 bpm.,AddToPlaylist,RateBook,0.10376800729705093,0.11300270073032545,0.07929412890407132,,0.6502826106306803,0.046420169108957944,
34,Add the 40 cal tune to the laundry playlist.,AddToPlaylist,AddToPlaylist,0.9594438578655354,,0.0011203186638640405,0.003832453209762229,0.008047669594992876,0.026107040341143632,
35,Add porter wagoner to the The Sleep Machine Waterscapes playlist.,AddToPlaylist,AddToPlaylist,0.9011811511808012,,0.019953168919338186,,0.004721260010881836,0.06077893585270701,0.007763028310590001
36,Add lofty fake anagram to the la mejor musica de bso playlist.,AddToPlaylist,AddToPlaylist,0.9708028404160659,0.00904747166548608,,0.0019462934942370514,,0.017210061037269377,0.0005395582158897596
37,add we have a theme song to my House Afterwork playlist,AddToPlaylist,AddToPlaylist,0.9756092796383745,0.0038818124838976053,,0.0019295167200998507,,0.012416249864548116,0.003401527005761961
38,put the artist onto Top Latin Alternative.,AddToPlaylist,AddToPlaylist,0.6860777143285434,,0.06936837019162677,0.037718594527876126,0.08014536178419115,0.07335857850550628,
39,Add kent james to the disney soundtrack.,AddToPlaylist,SearchCreativeWork,0.16500795042332014,0.0033969143388704564,,,0.00449183093768041,0.8084916366959933,0.01551847141560935
40,add nuba to my Metal Party playlist,AddToPlaylist,AddToPlaylist,0.9670912980456593,0.000586344402066875,0.0007084995507625123,0.028415400294770226,,0.0025335891176304897,
41,Add Brazilian Flag Anthem to Top 100 Alternative Tracks on Spotify,AddToPlaylist,BookRestaurant,0.31757863277389226,0.4184179205087619,0.025787666738429693,,0.1866931370525205,0.041082291693785154,
42,Can you add last of the ghetto astronauts to the playlist called black sabbath the dio years?,AddToPlaylist,AddToPlaylist,0.9928890865291057,0.001365473578481783,,,0.00027495206345426806,0.005380547657586764,5.1354322613897365e-05
43,Add this album to Old School Death Metal,AddToPlaylist,AddToPlaylist,0.6787604078890775,,,0.012386733059391836,0.013972566667431798,0.2425951187291644,0.03849382921130427
44,add this artist to my Electronic Bliss playlist,AddToPlaylist,AddToPlaylist,0.9992966808008836,,0.00013690217399580726,0.00030368318127729993,0.00011066122262492113,,0.00010699752783896118
45,Add the album to my Perfect Concentration playlist.,AddToPlaylist,AddToPlaylist,0.9578585654211336,0.002690202755088509,0.0017477993160941974,0.016067584082025417,,0.018905884902612545,
46,add a song in my All Out 60s,AddToPlaylist,AddToPlaylist,0.7498177532380106,,0.04880208060573814,0.0965052111004825,,0.04517356933510984,0.02335786459605092
47,add digging now to my Young at Heart playlist,AddToPlaylist,AddToPlaylist,0.98253323371325,,0.0012136779835376713,0.0070823622285702565,,0.0012682427632736272,0.006873314145684849
48,add ireland in the junior eurovision song contest 2015 to my Jazzy Dinner playlist,AddToPlaylist,AddToPlaylist,0.9744542670855458,0.017690194132696423,0.0053981549870958335,,0.0014442545636521576,0.000616331504540038,
49,add the song to my We Everywhere playlist,AddToPlaylist,AddToPlaylist,0.8231799982914836,,0.01636622769318395,0.022240920548321497,,0.1255775360782431,0.008440723680371262
50,Add the album to the Might and Myth Power Metal playlist.,AddToPlaylist,AddToPlaylist,0.9694035119024342,,0.0010963595345964657,0.0013325115864515871,,0.023962556499330392,0.0030287634315481877
51,Add a song to this is racionais mc's,AddToPlaylist,AddToPlaylist,0.7358318828462762,,0.03878842863136566,,0.058453677169352306,0.029255629301499084,0.12203262837195114
52,"Add Jerry Calliste, Jr to my Te quiero playlist.",AddToPlaylist,AddToPlaylist,0.9916752276206487,,0.001557848764816143,0.002553098440788222,0.0007591307635163166,0.0029792140668226407,
53,Add sarah slean to my playlist Mellowed Out Gaming,AddToPlaylist,AddToPlaylist,0.9914365352352047,,0.0006134148662886354,0.002182447731162877,,0.004128343560414902,0.0008824437793292165
54,Add the album to my Flow Espanol playlist.,AddToPlaylist,AddToPlaylist,0.9670566929282453,,0.000700962295106056,0.01574987638375591,,0.014454150700419168,0.0014617572476457253
55,add this artist to my spotlight on country 2016 playlist,AddToPlaylist,AddToPlaylist,0.9979356246553014,7.648535897444708e-05,0.00035972256548979056,0.0005200751786280903,0.0010508619116884044,,
56,Add give us rest to my 70s Smash Hits playlist.,AddToPlaylist,AddToPlaylist,0.9955925895015195,,0.0003266783789872516,0.0009101890277507007,0.001818165963394593,,0.0011038550442055363
57,Add the track to the work playlist.,AddToPlaylist,AddToPlaylist,0.744187008664513,,,0.004289822610469812,0.0012953539236464644,0.24523510095343917,0.003974610250962687
58,For my fantastic workout can you add sara bareilles?,AddToPlaylist,AddToPlaylist,0.7422523288670393,0.18861456334982346,0.029929302032081346,,,0.01706076155130047,0.010267165221369277
59,Add emilie autumn to my Nacao Reggae playlist.,AddToPlaylist,AddToPlaylist,0.9682447001479934,0.0020285091598948464,,0.011234848845997302,,0.014474726996445503,0.001655712914991512
60,add this tune to my Sleepify playlist,AddToPlaylist,AddToPlaylist,0.9870735951861794,,0.0005168628070516057,0.009167594423912939,,0.001730555430815331,0.0010076205722622021
61,add track in my playlist called Hands Up,AddToPlaylist,AddToPlaylist,0.9665185804640212,,0.0009116511981425235,0.0029703429817906453,,0.027698177030815414,0.0010553714717764797
62,Add the album to my Club Hits playlist.,AddToPlaylist,AddToPlaylist,0.9840889943159786,,0.0006210561002568614,0.008829193174403975,,0.0043164824635882615,0.001560511401637402
63,I'd like to add jordan rudess onto the Divertido para ninos playlist.,AddToPlaylist,AddToPlaylist,0.9962477975351426,0.0006909454405477252,,,0.00014260423092195658,0.0026837262187395477,0.00019684493800157924
64,I'd like for you to add bobby brown to my enamorandose playlist.,AddToPlaylist,AddToPlaylist,0.9823727172567872,0.010288343372087961,,0.0006464253341188026,,0.005584614447150357,0.000847441052844709
65,I need to add to my Infinite Indie Folk list the works of Rahim Shah,AddToPlaylist,AddToPlaylist,0.7719364718957508,0.014147261501320165,0.004162575406247338,,,0.1816940507277236,0.026093266719725235
66,add Jonathan Sprout album to my this is miranda lambert playlist,AddToPlaylist,AddToPlaylist,0.9984177786705926,0.0005385451892930142,0.0005339857339183942,0.00012360855849804784,,,0.00025994732398798294
67,add Muzika za decu to my Crash Course playlist,AddToPlaylist,AddToPlaylist,0.9875625889249003,0.0017513503248083782,,0.0037331330008908603,,0.0053661319447104215,0.0007911756498581999
68,Add jo stafford music to the workout twerkout playlist,AddToPlaylist,AddToPlaylist,0.9994952223419029,,6.964814175996327e-05,4.578104837935304e-05,7.878359811905748e-05,0.0002441788178749656,
69,Add Richard McNamara newest song to the Just Smile playlist,AddToPlaylist,AddToPlaylist,0.9965577853523716,0.0005078854537979243,0.00045575459103134057,,,0.0007538988694385531,0.0010100672900439955
70,Add Andy Hunter to my Evening Commute playlist.,AddToPlaylist,AddToPlaylist,0.9572406896893628,,0.0019874912631474206,0.014966850057202066,,0.018648919887059003,0.004715906969261778
