Query,Expected Entity,Predicted Entity,Confidence
add the artist Pete Murray to my relaxing playlist,,music_item,0.9363467693328857
add the artist Pete Murray to my relaxing playlist,,artist,0.15317939221858978
add the artist Pete Murray to my relaxing playlist,,playlist_owner,0.962281346321106
add the artist Pete Murray to my relaxing playlist,,playlist_owner,0.34536218643188477
add the artist Pete Murray to my relaxing playlist,artist,,0.0
add the artist Pete Murray to my relaxing playlist,playlist_owner,,0.0
add the artist Pete Murray to my relaxing playlist,playlist,,0.0
Add the artist mike to the Sexy as Folk playlist.,artist,music_item,0.2804718315601349
Add the artist mike to the Sexy as Folk playlist.,playlist,playlist,0.3649062514305115
Add the artist mike to the Sexy as Folk playlist.,,playlist,0.31122320890426636
Add the artist mike to the Sexy as Folk playlist.,music_item,,0.0
I'd like to have this track onto my Classical Relaxations playlist.,,music_item,0.723314642906189
I'd like to have this track onto my Classical Relaxations playlist.,,playlist_owner,0.6784573197364807
I'd like to have this track onto my Classical Relaxations playlist.,music_item,,0.0
I'd like to have this track onto my Classical Relaxations playlist.,playlist_owner,,0.0
I'd like to have this track onto my Classical Relaxations playlist.,playlist,,0.0
Put Vandemataram Srinivas's track onto HipHop Hot 50.,,city,0.12682326138019562
Put Vandemataram Srinivas's track onto HipHop Hot 50.,,music_item,0.7750160098075867
Put Vandemataram Srinivas's track onto HipHop Hot 50.,playlist,playlist,0.292900949716568
Put Vandemataram Srinivas's track onto HipHop Hot 50.,,playlist,0.17244602739810944
Put Vandemataram Srinivas's track onto HipHop Hot 50.,artist,,0.0
add abacab to beryl's party on fridays playlist,,playlist,0.1286700963973999
add abacab to beryl's party on fridays playlist,artist,,0.0
add abacab to beryl's party on fridays playlist,music_item,,0.0
add abacab to beryl's party on fridays playlist,playlist,,0.0
Add this artist to Showstopper Being Mary Jane,,music_item,0.9421286582946777
Add this artist to Showstopper Being Mary Jane,,artist,0.5
Add this artist to Showstopper Being Mary Jane,entity_name,,0.0
Add this artist to Showstopper Being Mary Jane,playlist,,0.0
A Very Cellular Song needs to be added to my masters of metal playlist,,playlist,0.4661080539226532
A Very Cellular Song needs to be added to my masters of metal playlist,,music_item,0.9318276643753052
A Very Cellular Song needs to be added to my masters of metal playlist,,playlist_owner,0.9873539805412292
A Very Cellular Song needs to be added to my masters of metal playlist,,object_name,0.42
A Very Cellular Song needs to be added to my masters of metal playlist,artist,,0.0
A Very Cellular Song needs to be added to my masters of metal playlist,music_item,,0.0
A Very Cellular Song needs to be added to my masters of metal playlist,playlist,,0.0
I'd like for Kasey Chambers's tune to be an addition to my Chips and Salsa playlist.,,artist,0.2164004147052765
I'd like for Kasey Chambers's tune to be an addition to my Chips and Salsa playlist.,,music_item,0.9547933340072632
I'd like for Kasey Chambers's tune to be an addition to my Chips and Salsa playlist.,,playlist_owner,0.21728116273880005
I'd like for Kasey Chambers's tune to be an addition to my Chips and Salsa playlist.,music_item,,0.0
I'd like for Kasey Chambers's tune to be an addition to my Chips and Salsa playlist.,playlist,,0.0
Add a derek watkins tune to This Is Johnny Cash,,artist,0.46618035435676575
Add a derek watkins tune to This Is Johnny Cash,,music_item,0.9569323658943176
Add a derek watkins tune to This Is Johnny Cash,,artist,0.6971027255058289
Add a derek watkins tune to This Is Johnny Cash,artist,,0.0
Add a derek watkins tune to This Is Johnny Cash,music_item,,0.0
Add a derek watkins tune to This Is Johnny Cash,playlist_owner,,0.0
Add a derek watkins tune to This Is Johnny Cash,playlist,,0.0
Can you add Larry Heard to my laundry playlist?,,artist,0.18723171949386597
Can you add Larry Heard to my laundry playlist?,,playlist_owner,0.8523960709571838
Can you add Larry Heard to my laundry playlist?,,playlist,0.6929500102996826
Can you add Larry Heard to my laundry playlist?,music_item,,0.0
Can you add Larry Heard to my laundry playlist?,playlist,,0.0
Add a song to Indie Hipster,music_item,music_item,0.9538863301277161
Add a song to Indie Hipster,playlist_owner,music_item,0.18624693155288696
Add a song to Indie Hipster,playlist,,0.0
I need to add baro ferret to the Urban Hits under my name,,playlist,0.2616901695728302
I need to add baro ferret to the Urban Hits under my name,,playlist,0.2117277830839157
I need to add baro ferret to the Urban Hits under my name,,playlist_owner,0.8758647441864014
I need to add baro ferret to the Urban Hits under my name,artist,,0.0
I need to add baro ferret to the Urban Hits under my name,playlist,,0.0
Add the artist to the political punks playlist.,,music_item,0.9657298922538757
Add the artist to the political punks playlist.,,playlist,0.2631085515022278
Add the artist to the political punks playlist.,music_item,,0.0
Add the artist to the political punks playlist.,playlist,,0.0
add tierney sutton to my Novedades Viernes Sudamerica playlist,playlist_owner,artist,0.17001037299633026
add tierney sutton to my Novedades Viernes Sudamerica playlist,,playlist_owner,0.19433178007602692
add tierney sutton to my Novedades Viernes Sudamerica playlist,playlist,,0.0
add tierney sutton to my Novedades Viernes Sudamerica playlist,artist,,0.0
Add Ted Heath to the road trip playlist.,,artist,0.3322329819202423
Add Ted Heath to the road trip playlist.,,playlist,0.5558863282203674
Add Ted Heath to the road trip playlist.,artist,,0.0
Add Ted Heath to the road trip playlist.,playlist_owner,,0.0
Add Ted Heath to the road trip playlist.,playlist,,0.0
Add the Matt Murphy tune to the Flow Espanol playlist.,,artist,0.45032522082328796
Add the Matt Murphy tune to the Flow Espanol playlist.,,music_item,0.9699944257736206
Add the Matt Murphy tune to the Flow Espanol playlist.,,playlist,0.36699551343917847
Add the Matt Murphy tune to the Flow Espanol playlist.,music_item,,0.0
Add the Matt Murphy tune to the Flow Espanol playlist.,playlist_owner,,0.0
Add the Matt Murphy tune to the Flow Espanol playlist.,playlist,,0.0
Add the chris clark tune to my women of the blues playlist.,,playlist,0.32947322726249695
Add the chris clark tune to my women of the blues playlist.,,music_item,0.7288826107978821
Add the chris clark tune to my women of the blues playlist.,,playlist_owner,0.960527777671814
Add the chris clark tune to my women of the blues playlist.,,playlist,0.20342352986335754
Add the chris clark tune to my women of the blues playlist.,,playlist,0.3326720595359802
Add the chris clark tune to my women of the blues playlist.,entity_name,,0.0
Add the chris clark tune to my women of the blues playlist.,playlist_owner,,0.0
Add the chris clark tune to my women of the blues playlist.,playlist,,0.0
Add Roel van Velzen to my party of the century playlist.,artist,playlist,0.13095951080322266
Add Roel van Velzen to my party of the century playlist.,,playlist_owner,0.9635222554206848
Add Roel van Velzen to my party of the century playlist.,,playlist,0.234607994556427
Add Roel van Velzen to my party of the century playlist.,playlist,,0.0
Add the album to the Hipster Soul playlist.,,music_item,0.5086581707000732
Add the album to the Hipster Soul playlist.,,playlist,0.4356548488140106
Add the album to the Hipster Soul playlist.,artist,,0.0
Add the album to the Hipster Soul playlist.,playlist_owner,,0.0
Add the album to the Hipster Soul playlist.,playlist,,0.0
Add the song virales de siempre by the cary brothers to my gym playlist.,,music_item,0.4249586760997772
Add the song virales de siempre by the cary brothers to my gym playlist.,,playlist,0.21840298175811768
Add the song virales de siempre by the cary brothers to my gym playlist.,,playlist_owner,0.9867680668830872
Add the song virales de siempre by the cary brothers to my gym playlist.,,playlist,0.40441933274269104
Add the song virales de siempre by the cary brothers to my gym playlist.,entity_name,,0.0
Add the song virales de siempre by the cary brothers to my gym playlist.,playlist_owner,,0.0
Add the song virales de siempre by the cary brothers to my gym playlist.,playlist,,0.0
