Query,Expected Entity,Predicted Entity,Confidence
add the artist Pete Murray to my relaxing playlist,artist,,0
add the artist Pete Murray to my relaxing playlist,playlist_owner,,0
add the artist Pete Murray to my relaxing playlist,playlist,,0
Add the artist mike to the Sexy as Folk playlist.,artist,,0
Add the artist mike to the Sexy as Folk playlist.,music_item,,0
Add the artist mike to the Sexy as Folk playlist.,playlist,,0
I'd like to have this track onto my Classical Relaxations playlist.,music_item,,0
I'd like to have this track onto my Classical Relaxations playlist.,playlist_owner,,0
I'd like to have this track onto my Classical Relaxations playlist.,playlist,,0
Put Vandemataram Srinivas's track onto HipHop Hot 50.,artist,,0
Put Vandemataram Srinivas's track onto HipHop Hot 50.,playlist,,0
add abacab to beryl's party on fridays playlist,artist,,0
add abacab to beryl's party on fridays playlist,music_item,,0
add abacab to beryl's party on fridays playlist,playlist,,0
Add this artist to Showstopper Being Mary Jane,entity_name,,0
Add this artist to Showstopper Being Mary Jane,playlist,,0
A Very Cellular Song needs to be added to my masters of metal playlist,artist,,0
A Very Cellular Song needs to be added to my masters of metal playlist,music_item,,0
A Very Cellular Song needs to be added to my masters of metal playlist,playlist,,0
I'd like for Kasey Chambers's tune to be an addition to my Chips and Salsa playlist.,music_item,,0
I'd like for Kasey Chambers's tune to be an addition to my Chips and Salsa playlist.,playlist,,0
Add a derek watkins tune to This Is Johnny Cash,artist,,0
Add a derek watkins tune to This Is Johnny Cash,music_item,,0
Add a derek watkins tune to This Is Johnny Cash,playlist_owner,,0
Add a derek watkins tune to This Is Johnny Cash,playlist,,0
Can you add Larry Heard to my laundry playlist?,music_item,,0
Can you add Larry Heard to my laundry playlist?,playlist,,0
Add a song to Indie Hipster,music_item,,0
Add a song to Indie Hipster,playlist_owner,,0
Add a song to Indie Hipster,playlist,,0
I need to add baro ferret to the Urban Hits under my name,artist,,0
I need to add baro ferret to the Urban Hits under my name,playlist,,0
Add the artist to the political punks playlist.,music_item,,0
Add the artist to the political punks playlist.,playlist,,0
add tierney sutton to my Novedades Viernes Sudamerica playlist,playlist_owner,,0
add tierney sutton to my Novedades Viernes Sudamerica playlist,playlist,,0
add tierney sutton to my Novedades Viernes Sudamerica playlist,artist,,0
Add Ted Heath to the road trip playlist.,artist,,0
Add Ted Heath to the road trip playlist.,playlist_owner,,0
Add Ted Heath to the road trip playlist.,playlist,,0
Add the Matt Murphy tune to the Flow Espanol playlist.,music_item,,0
Add the Matt Murphy tune to the Flow Espanol playlist.,playlist_owner,,0
Add the Matt Murphy tune to the Flow Espanol playlist.,playlist,,0
Add the chris clark tune to my women of the blues playlist.,entity_name,,0
Add the chris clark tune to my women of the blues playlist.,playlist_owner,,0
Add the chris clark tune to my women of the blues playlist.,playlist,,0
Add Roel van Velzen to my party of the century playlist.,artist,,0
Add Roel van Velzen to my party of the century playlist.,playlist,,0
Add the album to the Hipster Soul playlist.,artist,,0
Add the album to the Hipster Soul playlist.,playlist_owner,,0
Add the album to the Hipster Soul playlist.,playlist,,0
Add the song virales de siempre by the cary brothers to my gym playlist.,entity_name,,0
Add the song virales de siempre by the cary brothers to my gym playlist.,playlist_owner,,0
Add the song virales de siempre by the cary brothers to my gym playlist.,playlist,,0
Add a track to Jazzy Dinner,entity_name,,0
Add a track to Jazzy Dinner,playlist_owner,,0
Add a track to Jazzy Dinner,playlist,,0
Add this tune to dorthy's 80's party playlist,entity_name,,0
Add this tune to dorthy's 80's party playlist,playlist,,0
Add this album to the Spanish Beat playlist,music_item,,0
Add this album to the Spanish Beat playlist,playlist,,0
Add an artist to Jukebox Boogie Rhythm & Blues,music_item,,0
Add an artist to Jukebox Boogie Rhythm & Blues,playlist,,0
Put abe laboriel onto the Escapada playlist.,artist,,0
Put abe laboriel onto the Escapada playlist.,music_item,,0
