,Query,Expected Intent,Predicted Intent,AddToPlaylist,BookRestaurant,GetWeather,PlayMusic,RateBook,SearchCreativeWork,SearchScreeningEvent
0,add the artist Pete Murray to my relaxing playlist,AddToPlaylist,AddToPlaylist,0.9681832790374756,0.005711393430829048,0.004703270737081766,0.011830140836536884,6.440111610572785e-05,0.008428729139268398,0.0010788680519908667
1,Add the artist mike to the Sexy as Folk playlist.,AddToPlaylist,AddToPlaylist,0.9607136845588684,0.008127436973154545,0.007105251774191856,0.012358898296952248,0.0001385010255035013,0.009983831085264683,0.001572336070239544
2,I'd like to have this track onto my Classical Relaxations playlist.,AddToPlaylist,AddToPlaylist,0.9641384482383728,0.00735313817858696,0.005651549436151981,0.01098547037690878,0.00014072777412366122,0.010400145314633846,0.0013305788161233068
3,Put Vandemataram Srinivas's track onto HipHop Hot 50.,AddToPlaylist,AddToPlaylist,0.26862573623657227,0.10263004899024963,0.14674584567546844,0.08495797216892242,0.17579615116119385,0.15534794330596924,0.06589627265930176
4,add abacab to beryl's party on fridays playlist,AddToPlaylist,AddToPlaylist,0.9452475905418396,0.011979758739471436,0.01064211130142212,0.01781417801976204,0.00017622954328544438,0.011576087214052677,0.002563984366133809
5,Add this artist to Showstopper Being Mary Jane,AddToPlaylist,AddToPlaylist,0.8397119045257568,0.04114837944507599,0.06429392844438553,0.02439427748322487,0.0014530798653140664,0.017006095498800278,0.011992299929261208
6,A Very Cellular Song needs to be added to my masters of metal playlist,AddToPlaylist,AddToPlaylist,0.9475448727607727,0.01078362762928009,0.012697477824985981,0.013501456938683987,0.0003235163458157331,0.012913101352751255,0.0022358635906130075
7,I'd like for Kasey Chambers's tune to be an addition to my Chips and Salsa playlist.,AddToPlaylist,AddToPlaylist,0.8527094721794128,0.03618644177913666,0.03991992771625519,0.03128648176789284,0.0019990638829767704,0.027097871527075768,0.010800711810588837
8,Add a derek watkins tune to This Is Johnny Cash,AddToPlaylist,AddToPlaylist,0.7291166186332703,0.058876167982816696,0.058864858001470566,0.06759876757860184,0.005350226536393166,0.05356312170624733,0.026630239561200142
9,Can you add Larry Heard to my laundry playlist?,AddToPlaylist,AddToPlaylist,0.9820411205291748,0.0023204730823636055,0.0016465701628476381,0.00847254041582346,1.1850709597638343e-05,0.005113095045089722,0.0003943322226405144
10,Add a song to Indie Hipster,AddToPlaylist,AddToPlaylist,0.9413187503814697,0.013277722522616386,0.012628923170268536,0.01628042757511139,0.00029303887276910245,0.013227710500359535,0.002973467344418168
11,I need to add baro ferret to the Urban Hits under my name,AddToPlaylist,AddToPlaylist,0.5259737968444824,0.10559119284152985,0.13678078353405,0.06897035986185074,0.03159742429852486,0.07889965176582336,0.05218677967786789
12,Add the artist to the political punks playlist.,AddToPlaylist,AddToPlaylist,0.9883548021316528,0.0023335497826337814,0.002499445341527462,0.003666316857561469,1.4073532838665415e-05,0.0028559742495417595,0.0002757329202722758
13,add tierney sutton to my Novedades Viernes Sudamerica playlist,AddToPlaylist,AddToPlaylist,0.7892782092094421,0.04980797320604324,0.046403851360082626,0.0597211979329586,0.0016862109769135714,0.03222157806158066,0.020880991593003273
14,Add Ted Heath to the road trip playlist.,AddToPlaylist,AddToPlaylist,0.951970100402832,0.00850303377956152,0.009021962992846966,0.01518775150179863,0.0002088118635583669,0.013204662129282951,0.001903808442875743
15,Add the Matt Murphy tune to the Flow Espanol playlist.,AddToPlaylist,AddToPlaylist,0.9004349708557129,0.01978394016623497,0.02297060191631317,0.027282483875751495,0.0009009451023302972,0.0231995340436697,0.005427573341876268
16,Add the chris clark tune to my women of the blues playlist.,AddToPlaylist,AddToPlaylist,0.9176843762397766,0.01733437553048134,0.022933324798941612,0.020269691944122314,0.00062911631539464,0.017122799530625343,0.004026350099593401
17,Add Roel van Velzen to my party of the century playlist.,AddToPlaylist,AddToPlaylist,0.8490898013114929,0.03537815064191818,0.037449415773153305,0.03670945018529892,0.0017835617763921618,0.02939509227871895,0.010194472037255764
18,Add the album to the Hipster Soul playlist.,AddToPlaylist,AddToPlaylist,0.9519429802894592,0.008788663893938065,0.008374933153390884,0.01516244187951088,0.00021722010569646955,0.013678673654794693,0.0018350727623328567
19,Add the song virales de siempre by the cary brothers to my gym playlist.,AddToPlaylist,AddToPlaylist,0.7845948338508606,0.038893263787031174,0.038414232432842255,0.06616786122322083,0.0031119580380618572,0.05283510312438011,0.01598276197910309
20,Add a track to Jazzy Dinner,AddToPlaylist,AddToPlaylist,0.9737465977668762,0.0051934062503278255,0.003718596650287509,0.007599466014653444,0.00010416610894026235,0.00875740684568882,0.0008802424999885261
21,Add this tune to dorthy's 80's party playlist,AddToPlaylist,AddToPlaylist,0.8636626601219177,0.02849181741476059,0.04966436326503754,0.02170874923467636,0.00319883250631392,0.026929963380098343,0.006343433167785406
22,Add this album to the Spanish Beat playlist,AddToPlaylist,AddToPlaylist,0.9175676703453064,0.017118509858846664,0.01977279968559742,0.02342977188527584,0.00047985330456867814,0.01735164411365986,0.004279890563338995
23,Add an artist to Jukebox Boogie Rhythm & Blues,AddToPlaylist,AddToPlaylist,0.8634576201438904,0.03301753103733063,0.02248319983482361,0.03822558373212814,0.0013572174357250333,0.03023453615605831,0.011224296875298023
24,Put abe laboriel onto the Escapada playlist.,AddToPlaylist,AddToPlaylist,0.9523378610610962,0.008745708502829075,0.008104542270302773,0.015713874250650406,0.00018607426318340003,0.012995605356991291,0.0019163819961249828
25,Add martin barre to my punk unplugged playlist.,AddToPlaylist,AddToPlaylist,0.9825788736343384,0.004353951197117567,0.003788948291912675,0.005082818679511547,2.7552410756470636e-05,0.0035865362733602524,0.0005811998271383345
