,Query,Expected Intent,Predicted Intent,AddToPlaylist,BookRestaurant,GetWeather,PlayMusic,RateBook,SearchCreativeWork,SearchScreeningEvent
0,add the artist Pete Murray to my relaxing playlist,AddToPlaylist,AddToPlaylist,0.9425786018843105,0.0032753947232834067,0.0046683521479948305,0.006729546843035849,0.006681964593020516,0.025700786862738214,0.010365352945616586
1,Add the artist mike to the Sexy as Folk playlist.,AddToPlaylist,AddToPlaylist,0.802916139553492,0.006189700870834004,0.007413072600909892,0.010393557418790922,0.02195837047668002,0.11692278198024142,0.03420637709905181
2,I'd like to have this track onto my Classical Relaxations playlist.,AddToPlaylist,AddToPlaylist,0.799710683064382,0.014600472434333033,0.020015164917885138,0.016806358904149606,0.024998042193294327,0.10739846441243019,0.0164708140735256
3,Put Vandemataram Srinivas's track onto HipHop Hot 50.,AddToPlaylist,AddToPlaylist,0.23692085362476029,0.052652050798400706,0.21005384942538594,0.14284223998319678,0.183920707374728,0.10820789762009371,0.06540240117343468
4,add abacab to beryl's party on fridays playlist,AddToPlaylist,AddToPlaylist,0.8222094141072449,0.013611010927077902,0.031075052427183843,0.037057065540118256,0.013171740703575716,0.06405006343693927,0.0188256528578601
5,Add this artist to Showstopper Being Mary Jane,AddToPlaylist,AddToPlaylist,0.7127899553317887,0.017721070783170808,0.0617119905379851,0.04278325749165779,0.040883913325252305,0.08614858380501632,0.03796122872512887
6,A Very Cellular Song needs to be added to my masters of metal playlist,AddToPlaylist,AddToPlaylist,0.9361863804639952,0.013634085048486701,0.005760223259189424,0.005869548545444387,0.00589932718425781,0.02925350669408131,0.0033969288045450656
7,I'd like for Kasey Chambers's tune to be an addition to my Chips and Salsa playlist.,AddToPlaylist,AddToPlaylist,0.6989332205224038,0.04760956212977997,0.02549856747373271,0.006602849870765034,0.009143441552962029,0.19288379964907595,0.019328558801280482
8,Add a derek watkins tune to This Is Johnny Cash,AddToPlaylist,AddToPlaylist,0.5740450794571638,0.07052324351627183,0.12691280129655652,0.04356118298691528,0.037351266655604905,0.10618582154826514,0.04142060453922262
9,Can you add Larry Heard to my laundry playlist?,AddToPlaylist,AddToPlaylist,0.923778025902657,0.0063856130780761055,0.007899395400372109,0.014383937169081307,0.00576199982992349,0.029986700127256086,0.011804328492633995
10,Add a song to Indie Hipster,AddToPlaylist,AddToPlaylist,0.6285204765695045,0.08270547193511682,0.0394623195226224,0.056088686967091246,0.03169638112369306,0.12654929724033145,0.03497736664164055
11,I need to add baro ferret to the Urban Hits under my name,AddToPlaylist,AddToPlaylist,0.6076499935351093,0.02072284981069042,0.010466083281786501,0.014413672018211265,0.02985645517060345,0.2846883022056449,0.03220264397795412
12,Add the artist to the political punks playlist.,AddToPlaylist,AddToPlaylist,0.802916139553492,0.006189700870834004,0.007413072600909892,0.010393557418790922,0.02195837047668002,0.11692278198024142,0.03420637709905181
13,add tierney sutton to my Novedades Viernes Sudamerica playlist,AddToPlaylist,AddToPlaylist,0.9359010496405736,0.004833257816915712,0.008981470792917246,0.012412915122867187,0.00657286190923821,0.021110282485852724,0.010188162231635454
14,Add Ted Heath to the road trip playlist.,AddToPlaylist,AddToPlaylist,0.8363826038956592,0.007913523968541709,0.01196309735739528,0.01585746912392048,0.024530425195311182,0.07520410514588466,0.028148775313287636
15,Add the Matt Murphy tune to the Flow Espanol playlist.,AddToPlaylist,AddToPlaylist,0.7694862519030227,0.007093468445861846,0.00858973137932014,0.012145716901348016,0.02596687856764287,0.1365911314014402,0.04012682140136436
