Query,Expected Entity,Predicted Entity,Confidence
add the artist Pete Murray to my relaxing playlist,,music_item,0.997366726398468
add the artist Pete Murray to my relaxing playlist,,artist,0.281475692987442
add the artist Pete Murray to my relaxing playlist,,playlist_owner,0.9140102863311768
add the artist Pete Murray to my relaxing playlist,,object_name,0.9336826205253601
add the artist Pete Murray to my relaxing playlist,artist,,0.0
add the artist Pete Murray to my relaxing playlist,playlist_owner,,0.0
add the artist Pete Murray to my relaxing playlist,playlist,,0.0
Add the artist mike to the Sexy as Folk playlist.,artist,music_item,0.9974898099899292
Add the artist mike to the Sexy as Folk playlist.,playlist,playlist,0.5
Add the artist mike to the Sexy as Folk playlist.,music_item,,0.0
I'd like to have this track onto my Classical Relaxations playlist.,,playlist,0.146525040268898
I'd like to have this track onto my Classical Relaxations playlist.,,music_item,0.9764944911003113
I'd like to have this track onto my Classical Relaxations playlist.,,playlist_owner,0.9034485220909119
I'd like to have this track onto my Classical Relaxations playlist.,music_item,,0.0
I'd like to have this track onto my Classical Relaxations playlist.,playlist_owner,,0.0
I'd like to have this track onto my Classical Relaxations playlist.,playlist,,0.0
Put Vandemataram Srinivas's track onto HipHop Hot 50.,,object_name,0.3069413900375366
Put Vandemataram Srinivas's track onto HipHop Hot 50.,,music_item,0.9844135046005249
Put Vandemataram Srinivas's track onto HipHop Hot 50.,playlist,object_name,0.43789365887641907
Put Vandemataram Srinivas's track onto HipHop Hot 50.,,best_rating,0.42413803935050964
Put Vandemataram Srinivas's track onto HipHop Hot 50.,artist,,0.0
add abacab to beryl's party on fridays playlist,artist,,0.0
add abacab to beryl's party on fridays playlist,music_item,,0.0
add abacab to beryl's party on fridays playlist,playlist,,0.0
Add this artist to Showstopper Being Mary Jane,,music_item,0.9974638223648071
Add this artist to Showstopper Being Mary Jane,,artist,0.59
Add this artist to Showstopper Being Mary Jane,entity_name,,0.0
Add this artist to Showstopper Being Mary Jane,playlist,,0.0
A Very Cellular Song needs to be added to my masters of metal playlist,,object_name,0.9353508353233337
A Very Cellular Song needs to be added to my masters of metal playlist,,city,0.22395700216293335
A Very Cellular Song needs to be added to my masters of metal playlist,,music_item,0.9979860782623291
A Very Cellular Song needs to be added to my masters of metal playlist,,playlist_owner,0.653319776058197
A Very Cellular Song needs to be added to my masters of metal playlist,,playlist,0.9750292897224426
A Very Cellular Song needs to be added to my masters of metal playlist,artist,,0.0
A Very Cellular Song needs to be added to my masters of metal playlist,music_item,,0.0
A Very Cellular Song needs to be added to my masters of metal playlist,playlist,,0.0
I'd like for Kasey Chambers's tune to be an addition to my Chips and Salsa playlist.,,country,0.12329927831888199
I'd like for Kasey Chambers's tune to be an addition to my Chips and Salsa playlist.,,music_item,0.9972934126853943
I'd like for Kasey Chambers's tune to be an addition to my Chips and Salsa playlist.,,playlist_owner,0.8675093650817871
I'd like for Kasey Chambers's tune to be an addition to my Chips and Salsa playlist.,,party_size_description,0.54
I'd like for Kasey Chambers's tune to be an addition to my Chips and Salsa playlist.,,country,0.45905593037605286
I'd like for Kasey Chambers's tune to be an addition to my Chips and Salsa playlist.,music_item,,0.0
I'd like for Kasey Chambers's tune to be an addition to my Chips and Salsa playlist.,playlist,,0.0
Add a derek watkins tune to This Is Johnny Cash,,timeRange,0.1549992859363556
Add a derek watkins tune to This Is Johnny Cash,,music_item,0.9984945058822632
Add a derek watkins tune to This Is Johnny Cash,,playlist,0.6926783323287964
Add a derek watkins tune to This Is Johnny Cash,,object_name,0.51
Add a derek watkins tune to This Is Johnny Cash,artist,,0.0
Add a derek watkins tune to This Is Johnny Cash,music_item,,0.0
Add a derek watkins tune to This Is Johnny Cash,playlist_owner,,0.0
Add a derek watkins tune to This Is Johnny Cash,playlist,,0.0
Can you add Larry Heard to my laundry playlist?,,artist,0.9972455501556396
Can you add Larry Heard to my laundry playlist?,,entity_name,0.6330286264419556
Can you add Larry Heard to my laundry playlist?,,playlist_owner,0.916456937789917
Can you add Larry Heard to my laundry playlist?,,playlist,0.9909582138061523
Can you add Larry Heard to my laundry playlist?,music_item,,0.0
Can you add Larry Heard to my laundry playlist?,playlist,,0.0
Add a song to Indie Hipster,music_item,music_item,0.9972876310348511
Add a song to Indie Hipster,,playlist,0.3327507972717285
Add a song to Indie Hipster,playlist_owner,,0.0
Add a song to Indie Hipster,playlist,,0.0
I need to add baro ferret to the Urban Hits under my name,,restaurant_type,0.6502876281738281
I need to add baro ferret to the Urban Hits under my name,,timeRange,0.1971253603696823
I need to add baro ferret to the Urban Hits under my name,,restaurant_type,0.2917628884315491
I need to add baro ferret to the Urban Hits under my name,,city,0.3241390883922577
I need to add baro ferret to the Urban Hits under my name,,playlist_owner,0.8925495147705078
I need to add baro ferret to the Urban Hits under my name,,object_type,0.49671855568885803
I need to add baro ferret to the Urban Hits under my name,artist,,0.0
I need to add baro ferret to the Urban Hits under my name,playlist,,0.0
Add the artist to the political punks playlist.,,music_item,0.9976673126220703
Add the artist to the political punks playlist.,,country,0.5389978289604187
Add the artist to the political punks playlist.,music_item,,0.0
Add the artist to the political punks playlist.,playlist,,0.0
add tierney sutton to my Novedades Viernes Sudamerica playlist,playlist_owner,timeRange,0.26692625880241394
add tierney sutton to my Novedades Viernes Sudamerica playlist,,playlist_owner,0.9041288495063782
add tierney sutton to my Novedades Viernes Sudamerica playlist,,object_type,0.3892142176628113
add tierney sutton to my Novedades Viernes Sudamerica playlist,playlist,,0.0
add tierney sutton to my Novedades Viernes Sudamerica playlist,artist,,0.0
Add Ted Heath to the road trip playlist.,,sort,0.49328526854515076
Add Ted Heath to the road trip playlist.,,object_name,0.9690845608711243
Add Ted Heath to the road trip playlist.,,playlist,0.7249628901481628
Add Ted Heath to the road trip playlist.,artist,,0.0
Add Ted Heath to the road trip playlist.,playlist_owner,,0.0
Add Ted Heath to the road trip playlist.,playlist,,0.0
Add the Matt Murphy tune to the Flow Espanol playlist.,,music_item,0.9984388947486877
Add the Matt Murphy tune to the Flow Espanol playlist.,,timeRange,0.8456467986106873
Add the Matt Murphy tune to the Flow Espanol playlist.,,country,0.18013983964920044
Add the Matt Murphy tune to the Flow Espanol playlist.,music_item,,0.0
Add the Matt Murphy tune to the Flow Espanol playlist.,playlist_owner,,0.0
Add the Matt Murphy tune to the Flow Espanol playlist.,playlist,,0.0
Add the chris clark tune to my women of the blues playlist.,,country,0.9612249135971069
Add the chris clark tune to my women of the blues playlist.,,artist,0.4334511458873749
Add the chris clark tune to my women of the blues playlist.,,music_item,0.9982438087463379
Add the chris clark tune to my women of the blues playlist.,,playlist_owner,0.920255184173584
Add the chris clark tune to my women of the blues playlist.,,location_name,0.13124242424964905
Add the chris clark tune to my women of the blues playlist.,entity_name,,0.0
Add the chris clark tune to my women of the blues playlist.,playlist_owner,,0.0
Add the chris clark tune to my women of the blues playlist.,playlist,,0.0
Add Roel van Velzen to my party of the century playlist.,artist,object_name,0.6092379093170166
Add Roel van Velzen to my party of the century playlist.,,country,0.49164557456970215
Add Roel van Velzen to my party of the century playlist.,,object_name,0.2679407000541687
Add Roel van Velzen to my party of the century playlist.,,playlist_owner,0.9147586822509766
Add Roel van Velzen to my party of the century playlist.,,object_name,0.39629247784614563
Add Roel van Velzen to my party of the century playlist.,playlist,,0.0
Add the album to the Hipster Soul playlist.,,playlist,0.2622169852256775
Add the album to the Hipster Soul playlist.,artist,,0.0
Add the album to the Hipster Soul playlist.,playlist_owner,,0.0
Add the album to the Hipster Soul playlist.,playlist,,0.0
Add the song virales de siempre by the cary brothers to my gym playlist.,,music_item,0.9969719648361206
Add the song virales de siempre by the cary brothers to my gym playlist.,,state,0.08360770344734192
Add the song virales de siempre by the cary brothers to my gym playlist.,,state,0.49259886145591736
Add the song virales de siempre by the cary brothers to my gym playlist.,,object_select,0.09023439139127731
Add the song virales de siempre by the cary brothers to my gym playlist.,,state,0.3410804867744446
Add the song virales de siempre by the cary brothers to my gym playlist.,,playlist_owner,0.8838382959365845
Add the song virales de siempre by the cary brothers to my gym playlist.,entity_name,,0.0
Add the song virales de siempre by the cary brothers to my gym playlist.,playlist_owner,,0.0
Add the song virales de siempre by the cary brothers to my gym playlist.,playlist,,0.0
Add a track to Jazzy Dinner,,music_item,0.9872065782546997
Add a track to Jazzy Dinner,,playlist,0.66
Add a track to Jazzy Dinner,entity_name,,0.0
Add a track to Jazzy Dinner,playlist_owner,,0.0
Add a track to Jazzy Dinner,playlist,,0.0
Add this tune to dorthy's 80's party playlist,,music_item,0.9984380602836609
Add this tune to dorthy's 80's party playlist,,location_name,0.3771909773349762
Add this tune to dorthy's 80's party playlist,,best_rating,0.4269404113292694
Add this tune to dorthy's 80's party playlist,entity_name,,0.0
Add this tune to dorthy's 80's party playlist,playlist,,0.0
Add this album to the Spanish Beat playlist,,country,0.5146178603172302
Add this album to the Spanish Beat playlist,music_item,,0.0
Add this album to the Spanish Beat playlist,playlist,,0.0
Add an artist to Jukebox Boogie Rhythm & Blues,,music_item,0.9974706172943115
Add an artist to Jukebox Boogie Rhythm & Blues,,party_size_number,0.12000637501478195
Add an artist to Jukebox Boogie Rhythm & Blues,,object_type,0.7014456987380981
Add an artist to Jukebox Boogie Rhythm & Blues,,object_name,0.15551160275936127
Add an artist to Jukebox Boogie Rhythm & Blues,music_item,,0.0
Add an artist to Jukebox Boogie Rhythm & Blues,playlist,,0.0
Put abe laboriel onto the Escapada playlist.,,object_type,0.38774019479751587
Put abe laboriel onto the Escapada playlist.,,object_type,0.17508919537067413
Put abe laboriel onto the Escapada playlist.,artist,,0.0
Put abe laboriel onto the Escapada playlist.,music_item,,0.0
Put abe laboriel onto the Escapada playlist.,playlist,,0.0
Add martin barre to my punk unplugged playlist.,,party_size_description,0.9367270469665527
Add martin barre to my punk unplugged playlist.,,restaurant_type,0.6459485292434692
Add martin barre to my punk unplugged playlist.,,playlist_owner,0.9038953185081482
Add martin barre to my punk unplugged playlist.,,artist,0.6898058652877808
Add martin barre to my punk unplugged playlist.,music_item,,0.0
Add martin barre to my punk unplugged playlist.,playlist_owner,,0.0
Add martin barre to my punk unplugged playlist.,playlist,,0.0
Can you put the artist Giovanni Giacomo Gastoldi onto the Chill Out Music playlist?,,music_item,0.9978598952293396
Can you put the artist Giovanni Giacomo Gastoldi onto the Chill Out Music playlist?,,object_name,0.3791605234146118
Can you put the artist Giovanni Giacomo Gastoldi onto the Chill Out Music playlist?,playlist_owner,condition_description,0.1519816815853119
Can you put the artist Giovanni Giacomo Gastoldi onto the Chill Out Music playlist?,,playlist,0.9854561686515808
Can you put the artist Giovanni Giacomo Gastoldi onto the Chill Out Music playlist?,entity_name,,0.0
Can you put the artist Giovanni Giacomo Gastoldi onto the Chill Out Music playlist?,playlist,,0.0
Add our little corner of the world music from gilmore girls to my The Funny Thing About Football Is playlist.,artist,rating_value,0.3840925097465515
Add our little corner of the world music from gilmore girls to my The Funny Thing About Football Is playlist.,,city,0.2660709321498871
