Query,Expected Entity,Predicted Entity,Confidence
add the artist Pete Murray to my relaxing playlist,,music_item,0.617828163994001
add the artist Pete Murray to my relaxing playlist,,artist,0.1981151447143192
add the artist Pete Murray to my relaxing playlist,,playlist_owner,0.838346526387343
add the artist Pete Murray to my relaxing playlist,artist,,0.0
add the artist Pete Murray to my relaxing playlist,playlist_owner,,0.0
add the artist Pete Murray to my relaxing playlist,playlist,,0.0
Add the artist mike to the Sexy as Folk playlist.,artist,music_item,0.8303036407394077
Add the artist mike to the Sexy as Folk playlist.,playlist,playlist,0.3704423408720009
Add the artist mike to the Sexy as Folk playlist.,music_item,,0.0
I'd like to have this track onto my Classical Relaxations playlist.,,playlist_owner,0.875424105045527
I'd like to have this track onto my Classical Relaxations playlist.,,playlist,0.8688384207724135
I'd like to have this track onto my Classical Relaxations playlist.,music_item,,0.0
I'd like to have this track onto my Classical Relaxations playlist.,playlist_owner,,0.0
I'd like to have this track onto my Classical Relaxations playlist.,playlist,,0.0
Put Vandemataram Srinivas's track onto HipHop Hot 50.,,artist,0.1922697552306916
Put Vandemataram Srinivas's track onto HipHop Hot 50.,,object_name,0.11846163947317771
Put Vandemataram Srinivas's track onto HipHop Hot 50.,artist,,0.0
Put Vandemataram Srinivas's track onto HipHop Hot 50.,playlist,,0.0
add abacab to beryl's party on fridays playlist,artist,,0.0
add abacab to beryl's party on fridays playlist,music_item,,0.0
add abacab to beryl's party on fridays playlist,playlist,,0.0
Add this artist to Showstopper Being Mary Jane,,music_item,0.9309528219679553
Add this artist to Showstopper Being Mary Jane,,object_name,0.5856765211953983
Add this artist to Showstopper Being Mary Jane,entity_name,,0.0
Add this artist to Showstopper Being Mary Jane,playlist,,0.0
A Very Cellular Song needs to be added to my masters of metal playlist,,object_name,0.2163163319269385
A Very Cellular Song needs to be added to my masters of metal playlist,,playlist_owner,0.9491069375671338
A Very Cellular Song needs to be added to my masters of metal playlist,,playlist,0.7062587702849691
A Very Cellular Song needs to be added to my masters of metal playlist,artist,,0.0
A Very Cellular Song needs to be added to my masters of metal playlist,music_item,,0.0
A Very Cellular Song needs to be added to my masters of metal playlist,playlist,,0.0
I'd like for Kasey Chambers's tune to be an addition to my Chips and Salsa playlist.,,artist,0.32486819279072965
I'd like for Kasey Chambers's tune to be an addition to my Chips and Salsa playlist.,,music_item,0.9347394235681336
I'd like for Kasey Chambers's tune to be an addition to my Chips and Salsa playlist.,,playlist_owner,0.9796944323358024
I'd like for Kasey Chambers's tune to be an addition to my Chips and Salsa playlist.,,playlist,0.936550368836489
I'd like for Kasey Chambers's tune to be an addition to my Chips and Salsa playlist.,music_item,,0.0
I'd like for Kasey Chambers's tune to be an addition to my Chips and Salsa playlist.,playlist,,0.0
Add a derek watkins tune to This Is Johnny Cash,,music_item,0.9271493974464742
Add a derek watkins tune to This Is Johnny Cash,,object_name,0.5537869350839919
Add a derek watkins tune to This Is Johnny Cash,artist,,0.0
Add a derek watkins tune to This Is Johnny Cash,music_item,,0.0
Add a derek watkins tune to This Is Johnny Cash,playlist_owner,,0.0
Add a derek watkins tune to This Is Johnny Cash,playlist,,0.0
Can you add Larry Heard to my laundry playlist?,,artist,0.7151411936753311
Can you add Larry Heard to my laundry playlist?,,playlist_owner,0.9337939475096841
Can you add Larry Heard to my laundry playlist?,,playlist,0.9175924924404202
Can you add Larry Heard to my laundry playlist?,music_item,,0.0
Can you add Larry Heard to my laundry playlist?,playlist,,0.0
Add a song to Indie Hipster,music_item,music_item,0.9262199338923816
Add a song to Indie Hipster,playlist_owner,object_name,0.2970746998467342
Add a song to Indie Hipster,playlist,,0.0
I need to add baro ferret to the Urban Hits under my name,,artist,0.32286586297203373
I need to add baro ferret to the Urban Hits under my name,,playlist_owner,0.6740330323629969
I need to add baro ferret to the Urban Hits under my name,,playlist,0.2994567966487433
I need to add baro ferret to the Urban Hits under my name,artist,,0.0
I need to add baro ferret to the Urban Hits under my name,playlist,,0.0
Add the artist to the political punks playlist.,,music_item,0.9438158520830245
Add the artist to the political punks playlist.,,playlist,0.3266757156716284
Add the artist to the political punks playlist.,music_item,,0.0
Add the artist to the political punks playlist.,playlist,,0.0
add tierney sutton to my Novedades Viernes Sudamerica playlist,,playlist_owner,0.9795585307552179
add tierney sutton to my Novedades Viernes Sudamerica playlist,,playlist,0.9479636795078848
add tierney sutton to my Novedades Viernes Sudamerica playlist,playlist_owner,,0.0
add tierney sutton to my Novedades Viernes Sudamerica playlist,playlist,,0.0
add tierney sutton to my Novedades Viernes Sudamerica playlist,artist,,0.0
Add Ted Heath to the road trip playlist.,,artist,0.3771794264955623
Add Ted Heath to the road trip playlist.,,playlist,0.5188625451049487
Add Ted Heath to the road trip playlist.,artist,,0.0
Add Ted Heath to the road trip playlist.,playlist_owner,,0.0
Add Ted Heath to the road trip playlist.,playlist,,0.0
Add the Matt Murphy tune to the Flow Espanol playlist.,,artist,0.4728860825528582
Add the Matt Murphy tune to the Flow Espanol playlist.,,music_item,0.9354330136609177
Add the Matt Murphy tune to the Flow Espanol playlist.,,playlist,0.45120357089870505
Add the Matt Murphy tune to the Flow Espanol playlist.,music_item,,0.0
Add the Matt Murphy tune to the Flow Espanol playlist.,playlist_owner,,0.0
Add the Matt Murphy tune to the Flow Espanol playlist.,playlist,,0.0
Add the chris clark tune to my women of the blues playlist.,,music_item,0.9323107325742018
Add the chris clark tune to my women of the blues playlist.,,playlist_owner,0.8757566382054329
Add the chris clark tune to my women of the blues playlist.,,playlist,0.2666766996924622
Add the chris clark tune to my women of the blues playlist.,entity_name,,0.0
Add the chris clark tune to my women of the blues playlist.,playlist_owner,,0.0
Add the chris clark tune to my women of the blues playlist.,playlist,,0.0
Add Roel van Velzen to my party of the century playlist.,artist,object_name,0.23718941724374065
Add Roel van Velzen to my party of the century playlist.,,playlist_owner,0.8403105218912195
Add Roel van Velzen to my party of the century playlist.,playlist,,0.0
Add the album to the Hipster Soul playlist.,,playlist,0.3021607356917298
Add the album to the Hipster Soul playlist.,artist,,0.0
Add the album to the Hipster Soul playlist.,playlist_owner,,0.0
Add the album to the Hipster Soul playlist.,playlist,,0.0
Add the song virales de siempre by the cary brothers to my gym playlist.,,music_item,0.45926774869032705
Add the song virales de siempre by the cary brothers to my gym playlist.,,playlist,0.32183513681501263
Add the song virales de siempre by the cary brothers to my gym playlist.,,playlist_owner,0.6146123131478002
Add the song virales de siempre by the cary brothers to my gym playlist.,entity_name,,0.0
Add the song virales de siempre by the cary brothers to my gym playlist.,playlist_owner,,0.0
Add the song virales de siempre by the cary brothers to my gym playlist.,playlist,,0.0
Add a track to Jazzy Dinner,,music_item,0.7261667583403467
Add a track to Jazzy Dinner,,object_name,0.3072134115047757
Add a track to Jazzy Dinner,entity_name,,0.0
Add a track to Jazzy Dinner,playlist_owner,,0.0
Add a track to Jazzy Dinner,playlist,,0.0
Add this tune to dorthy's 80's party playlist,,music_item,0.9474937355001116
Add this tune to dorthy's 80's party playlist,entity_name,,0.0
Add this tune to dorthy's 80's party playlist,playlist,,0.0
Add this album to the Spanish Beat playlist,,playlist,0.41017874264057924
Add this album to the Spanish Beat playlist,music_item,,0.0
Add this album to the Spanish Beat playlist,playlist,,0.0
Add an artist to Jukebox Boogie Rhythm & Blues,,music_item,0.9112246526462577
Add an artist to Jukebox Boogie Rhythm & Blues,,object_name,0.7206247837508327
Add an artist to Jukebox Boogie Rhythm & Blues,music_item,,0.0
Add an artist to Jukebox Boogie Rhythm & Blues,playlist,,0.0
Put abe laboriel onto the Escapada playlist.,,playlist,0.2880634347173919
Put abe laboriel onto the Escapada playlist.,artist,,0.0
Put abe laboriel onto the Escapada playlist.,music_item,,0.0
Put abe laboriel onto the Escapada playlist.,playlist,,0.0
Add martin barre to my punk unplugged playlist.,,playlist_owner,0.9602221515545116
Add martin barre to my punk unplugged playlist.,,playlist,0.8978354521152189
Add martin barre to my punk unplugged playlist.,music_item,,0.0
Add martin barre to my punk unplugged playlist.,playlist_owner,,0.0
Add martin barre to my punk unplugged playlist.,playlist,,0.0
Can you put the artist Giovanni Giacomo Gastoldi onto the Chill Out Music playlist?,,music_item,0.36252478983252995
Can you put the artist Giovanni Giacomo Gastoldi onto the Chill Out Music playlist?,,object_name,0.3596786338695915
Can you put the artist Giovanni Giacomo Gastoldi onto the Chill Out Music playlist?,entity_name,,0.0
Can you put the artist Giovanni Giacomo Gastoldi onto the Chill Out Music playlist?,playlist_owner,,0.0
Can you put the artist Giovanni Giacomo Gastoldi onto the Chill Out Music playlist?,playlist,,0.0
